musical_name	year	url	url_cleaned
A Day in Hollywood / A Night in the Ukraine	1980	/a/adayinhollywoodanightintheukraine.htm	adayinhollywoodanightintheukraine
Ace	2006	/a/ace.htm	ace
Across the Universe	2007	/a/acrosstheuniverse.htm	acrosstheuniverse
Act	1977	/a/actthe.htm	actthe
Addams Family	2010	/a/addamsfamilythe.htm	addamsfamilythe
Adding Machine	2008	/a/addingmachine.htm	addingmachine
Adrift In Macao	2008	/a/adriftinmacao.htm	adriftinmacao
Adventures of Tom Sawyer	2001	/a/adventuresoftomsawyerthe.htm	adventuresoftomsawyerthe
Aida	2001	/a/aida.htm	aida
Ain't Misbehavin'	1978	/a/aintmisbehavin.htm	aintmisbehavin
Ain't Too Proud	2018	/a/ainttooproud.htm	ainttooproud
Aladdin	2011	/a/aladdin.htm	aladdin
Alas! Alack! Zorro's Back!	0000	/a/alasalackzorrosback.htm	alasalackzorrosback
All Shook Up	2005	/a/allshookup.htm	allshookup
Allegro	1947	/a/allegro.htm	allegro
Altar Boyz	2005	/a/altarboyz.htm	altarboyz
American Idiot	2010	/a/americanidiot.htm	americanidiot
American in Paris, An	1951	/a/americaninparisan.htm	americaninparisan
American Mall	2008	/a/americanmall.htm	americanmall
American Utopia	2020	/a/americanutopia.htm	americanutopia
Anastasia	2017	/a/anastasia.htm	anastasia
And Juliet	2022	/a/andjuliet.htm	andjuliet
Andrew Lloyd Webber Divas	2006	/a/andrewlloydwebberdivas.htm	andrewlloydwebberdivas
Anna Karenina	1992	/a/annakarenina.htm	annakarenina
Annie	1977	/a/annie.htm	annie
Annie Get Your Gun	1946	/a/anniegetyourgun.htm	anniegetyourgun
Anyone Can Whistle	1964	/a/anyonecanwhistle.htm	anyonecanwhistle
Anything Goes	1934	/a/anythinggoes.htm	anythinggoes
Applause	1970	/a/applause.htm	applause
Apple Tree	1966	/a/appletreethe.htm	appletreethe
Ark	2008	/a/arkthe.htm	arkthe
As Thousands Cheer	1933	/a/asthousandscheer.htm	asthousandscheer
Aspects of Love	1989	/a/aspectsoflove.htm	aspectsoflove
Assassins	2004	/a/assassins.htm	assassins
Avenue Q	2003	/a/avenueq.htm	avenueq
Babes In Arms	1989	/b/babesinarms.htm	babesinarms
Baby	1983	/b/baby.htm	baby
Back to the Future	2022	/b/backtothefuture.htm	backtothefuture
Bad Girls	2008	/b/badgirls.htm	badgirls
Bajour	1964	/b/bajour.htm	bajour
Baker's Wife	1976	/b/bakerswifethe.htm	bakerswifethe
Band's Visit	2017	/b/bandsvisit.htm	bandsvisit
Bandstand 	2017	/b/bandstand.htm	bandstand
Bare: A Pop Opera	2004	/b/bareapopopera.htm	bareapopopera
Bark! The Musical	2004	/b/barkthemusical.htm	barkthemusical
Barnum	1980	/b/barnum.htm	barnum
Bat Boy	2001	/b/batboy.htm	batboy
Be More Chill	2015	/b/bemorechill.htm	bemorechill
Beautiful Game	2000	/b/beautifulgamethe.htm	beautifulgamethe
Beautiful Noise	2022	/b/beautifulnoise.htm	beautifulnoise
Beautiful: The Carole King	2013	/b/beautifulthecaroleking.htm	beautifulthecaroleking
Beetlejuice	2019	/b/beetlejuice.htm	beetlejuice
Bells Are Ringing	1956	/b/bellsareringing.htm	bellsareringing
Ben Franklin in Paris	1964	/b/benfranklininparis.htm	benfranklininparis
Bernarda Alba	2006	/b/bernardaalba.htm	bernardaalba
Best Foot Forward	1941	/b/bestfootforward.htm	bestfootforward
Best Little Whorehouse in Texas	1978	/b/bestlittlewhorehouseintexasthe.htm	bestlittlewhorehouseintexasthe
Best of Broadway	2004	/b/bestofbroadwaythe.htm	bestofbroadwaythe
Big	1996	/b/big.htm	big
Big Fish	2013	/b/bigfish.htm	bigfish
Big River	1985	/b/bigriver.htm	bigriver
Billy Elliot	2008	/b/billyelliot.htm	billyelliot
