song-name	url
It's The Strangest Thing	https://www.allmusicals.com/lyrics/actthe/itsthestrangestthing.htm
Bobo's	https://www.allmusicals.com/lyrics/actthe/bobos.htm
Turning	https://www.allmusicals.com/lyrics/actthe/turning.htm
Little Do They Know	https://www.allmusicals.com/lyrics/actthe/littledotheyknow.htm
Arthur In The Afternoon	https://www.allmusicals.com/lyrics/actthe/arthurintheafternoon.htm
The Money Tree	https://www.allmusicals.com/lyrics/actthe/themoneytree.htm
City Lights	https://www.allmusicals.com/lyrics/actthe/citylights.htm
There When I Need Him	https://www.allmusicals.com/lyrics/actthe/therewhenineedhim.htm
Hot Enough For You?	https://www.allmusicals.com/lyrics/actthe/hotenoughforyou.htm
Little Do They Know (Reprise)	https://www.allmusicals.com/lyrics/actthe/littledotheyknowreprise.htm
My Own Space	https://www.allmusicals.com/lyrics/actthe/myownspace.htm
