song-name	url
Addams Family Theme	https://www.allmusicals.com/lyrics/addamsfamilythe/addamsfamilytheme.htm
Overture	https://www.allmusicals.com/lyrics/addamsfamilythe/overture.htm
When You're An Addams	https://www.allmusicals.com/lyrics/addamsfamilythe/whenyoureanaddams.htm
Pulled	https://www.allmusicals.com/lyrics/addamsfamilythe/pulled.htm
Where Did We Go Wrong	https://www.allmusicals.com/lyrics/addamsfamilythe/wheredidwegowrong.htm
One Normal Night	https://www.allmusicals.com/lyrics/addamsfamilythe/onenormalnight.htm
Morticia	https://www.allmusicals.com/lyrics/addamsfamilythe/morticia.htm
What If	https://www.allmusicals.com/lyrics/addamsfamilythe/whatif.htm
Full Disclosure	https://www.allmusicals.com/lyrics/addamsfamilythe/fulldisclosure.htm
Waiting	https://www.allmusicals.com/lyrics/addamsfamilythe/waiting.htm
Full Disclosure - Part 2	https://www.allmusicals.com/lyrics/addamsfamilythe/fulldisclosurepart2.htm
Just Around The Corner	https://www.allmusicals.com/lyrics/addamsfamilythe/justaroundthecorner.htm
The Moon And Me	https://www.allmusicals.com/lyrics/addamsfamilythe/themoonandme.htm
Happy/Sad	https://www.allmusicals.com/lyrics/addamsfamilythe/happysad.htm
Crazier Than You	https://www.allmusicals.com/lyrics/addamsfamilythe/crazierthanyou.htm
Let's Not Talk About Anything Else But Love	https://www.allmusicals.com/lyrics/addamsfamilythe/letsnottalkaboutanythingelsebutlove.htm
Let's Not Talk About Anything Else But Love (Reprise)	https://www.allmusicals.com/lyrics/addamsfamilythe/letsnottalkaboutanythingelsebutlovereprise.htm
In The Arms	https://www.allmusicals.com/lyrics/addamsfamilythe/inthearms.htm
Live Before We Die	https://www.allmusicals.com/lyrics/addamsfamilythe/livebeforewedie.htm
Tango De Amor	https://www.allmusicals.com/lyrics/addamsfamilythe/tangodeamor.htm
Move Toward The Darkness	https://www.allmusicals.com/lyrics/addamsfamilythe/movetowardthedarkness.htm
