song-name	url
Overture	https://www.allmusicals.com/lyrics/aida/overture.htm
Every Story Is a Love Story	https://www.allmusicals.com/lyrics/aida/everystoryisalovestory.htm
Fortune Favors the Brave	https://www.allmusicals.com/lyrics/aida/fortunefavorsthebrave.htm
Past Is Another Land	https://www.allmusicals.com/lyrics/aida/pastisanotherland.htm
Another Pyramid	https://www.allmusicals.com/lyrics/aida/anotherpyramid.htm
How I Know You	https://www.allmusicals.com/lyrics/aida/howiknowyou.htm
My Strongest Suit	https://www.allmusicals.com/lyrics/aida/mystrongestsuit.htm
Fortune Favors the Brave (Reprise)	https://www.allmusicals.com/lyrics/aida/fortunefavorsthebravereprise.htm
Enchantment Passing Through	https://www.allmusicals.com/lyrics/aida/enchantmentpassingthrough.htm
My Strongest Suit (Reprise)	https://www.allmusicals.com/lyrics/aida/mystrongestsuitreprise.htm
Dance of the Robe	https://www.allmusicals.com/lyrics/aida/danceoftherobe.htm
Not Me	https://www.allmusicals.com/lyrics/aida/notme.htm
Elaborate Lives	https://www.allmusicals.com/lyrics/aida/elaboratelives.htm
Gods Love Nubia	https://www.allmusicals.com/lyrics/aida/godslovenubia.htm
Step Too Far	https://www.allmusicals.com/lyrics/aida/steptoofar.htm
Easy as Life	https://www.allmusicals.com/lyrics/aida/easyaslife.htm
Like Father, Like Son	https://www.allmusicals.com/lyrics/aida/likefatherlikeson.htm
Radames' Letter	https://www.allmusicals.com/lyrics/aida/radamesletter.htm
Dance of the Robe (Reprise)	https://www.allmusicals.com/lyrics/aida/danceoftherobereprise.htm
How I Know You (Reprise)	https://www.allmusicals.com/lyrics/aida/howiknowyoureprise.htm
Written in the Stars	https://www.allmusicals.com/lyrics/aida/writteninthestars.htm
I Know the Truth	https://www.allmusicals.com/lyrics/aida/iknowthetruth.htm
Elaborate Lives (Reprise)	https://www.allmusicals.com/lyrics/aida/elaboratelivesreprise.htm
Enchantment Passing Through (Reprise)	https://www.allmusicals.com/lyrics/aida/enchantmentpassingthroughreprise.htm
Every Story is a Love Story (Reprise)	https://www.allmusicals.com/lyrics/aida/everystoryisalovestoryreprise.htm
