song-name	url
Honeysuckle Rose	https://www.allmusicals.com/lyrics/aintmisbehavin/honeysucklerose.htm
Black And Blue	https://www.allmusicals.com/lyrics/aintmisbehavin/blackandblue.htm
Fat And Greasy	https://www.allmusicals.com/lyrics/aintmisbehavin/fatandgreasy.htm
Mean To Me	https://www.allmusicals.com/lyrics/aintmisbehavin/meantome.htm
Keepin' Out Of Mischief	https://www.allmusicals.com/lyrics/aintmisbehavin/keepinoutofmischief.htm
The Joint Is Jumpin'	https://www.allmusicals.com/lyrics/aintmisbehavin/thejointisjumpin.htm
Ain't Misbehavin'	https://www.allmusicals.com/lyrics/aintmisbehavin/aintmisbehavin.htm
Cash for your Trash	https://www.allmusicals.com/lyrics/aintmisbehavin/cashforyourtrash.htm
Find out What They Like	https://www.allmusicals.com/lyrics/aintmisbehavin/findoutwhattheylike.htm
Handful Of Keys	https://www.allmusicals.com/lyrics/aintmisbehavin/handfulofkeys.htm
How Ya Baby	https://www.allmusicals.com/lyrics/aintmisbehavin/howyababy.htm
I Can't Give You Anything But Love	https://www.allmusicals.com/lyrics/aintmisbehavin/icantgiveyouanythingbutlove.htm
I'm Gonna Sit Right Down & Write Myself a Letter	https://www.allmusicals.com/lyrics/aintmisbehavin/imgonnasitrightdownwritemyselfaletter.htm
Its A Sin To Tell A Lie	https://www.allmusicals.com/lyrics/aintmisbehavin/itsasintotellalie.htm
I've Got A Feeling I'm Falling	https://www.allmusicals.com/lyrics/aintmisbehavin/ivegotafeelingimfalling.htm
I've Got My Fingers Crossed	https://www.allmusicals.com/lyrics/aintmisbehavin/ivegotmyfingerscrossed.htm
Spreadin' Rhythm Around	https://www.allmusicals.com/lyrics/aintmisbehavin/spreadinrhythmaround.htm
Ladies Who Sing wtih the Band	https://www.allmusicals.com/lyrics/aintmisbehavin/ladieswhosingwtihtheband.htm
Lookin' Good But Feelin' Bad	https://www.allmusicals.com/lyrics/aintmisbehavin/lookingoodbutfeelinbad.htm
Lounging at the Waldorf	https://www.allmusicals.com/lyrics/aintmisbehavin/loungingatthewaldorf.htm
Viper's Drag	https://www.allmusicals.com/lyrics/aintmisbehavin/vipersdrag.htm
'Tain't Nobody's Bizness if I Do	https://www.allmusicals.com/lyrics/aintmisbehavin/taintnobodysbiznessifido.htm
That Ain't Right	https://www.allmusicals.com/lyrics/aintmisbehavin/thataintright.htm
Two Sleepy People	https://www.allmusicals.com/lyrics/aintmisbehavin/twosleepypeople.htm
Your Feet's Too Big	https://www.allmusicals.com/lyrics/aintmisbehavin/yourfeetstoobig.htm
