song-name	url
Ain't Too Proud to Beg	https://www.allmusicals.com/lyrics/ainttooproud/ainttooproudtobeg.htm
All I Need	https://www.allmusicals.com/lyrics/ainttooproud/allineed.htm
Baby Love	https://www.allmusicals.com/lyrics/ainttooproud/babylove.htm
Ball of Confusion (That's What the World is Today)	https://www.allmusicals.com/lyrics/ainttooproud/ballofconfusionthatswhattheworldistoday.htm
Cloud Nine	https://www.allmusicals.com/lyrics/ainttooproud/cloudnine.htm
Come See About Me	https://www.allmusicals.com/lyrics/ainttooproud/comeseeaboutme.htm
Don't Look Back	https://www.allmusicals.com/lyrics/ainttooproud/dontlookback.htm
For Once in My Life	https://www.allmusicals.com/lyrics/ainttooproud/foronceinmylife.htm
Get Ready	https://www.allmusicals.com/lyrics/ainttooproud/getready.htm
I Can't Get Next To You	https://www.allmusicals.com/lyrics/ainttooproud/icantgetnexttoyou.htm
I Could Never Love Another	https://www.allmusicals.com/lyrics/ainttooproud/icouldneverloveanother.htm
(I Know) I'm Losing You	https://www.allmusicals.com/lyrics/ainttooproud/iknowimlosingyou.htm
I Want A Love I Can See	https://www.allmusicals.com/lyrics/ainttooproud/iwantaloveicansee.htm
I Wish It Would Rain	https://www.allmusicals.com/lyrics/ainttooproud/iwishitwouldrain.htm
If You Don't Know Me By Now	https://www.allmusicals.com/lyrics/ainttooproud/ifyoudontknowmebynow.htm
I’m Gonna Make You Love Me	https://www.allmusicals.com/lyrics/ainttooproud/imgonnamakeyouloveme.htm
In the Still of the Night	https://www.allmusicals.com/lyrics/ainttooproud/inthestillofthenight.htm
Just My Imagination (Running Away with Me)	https://www.allmusicals.com/lyrics/ainttooproud/justmyimaginationrunningawaywithme.htm
My Girl	https://www.allmusicals.com/lyrics/ainttooproud/mygirl.htm
Papa Was a Rollin' Stone	https://www.allmusicals.com/lyrics/ainttooproud/papawasarollinstone.htm
Runaway Child, Running Wild	https://www.allmusicals.com/lyrics/ainttooproud/runawaychildrunningwild.htm
Shout	https://www.allmusicals.com/lyrics/ainttooproud/shout.htm
Since I Lost My Baby	https://www.allmusicals.com/lyrics/ainttooproud/sinceilostmybaby.htm
Speedo	https://www.allmusicals.com/lyrics/ainttooproud/speedo.htm
Superstar (Remember How You Got Where You Are)	https://www.allmusicals.com/lyrics/ainttooproud/superstarrememberhowyougotwhereyouare.htm
The Way You Do the Things You Do	https://www.allmusicals.com/lyrics/ainttooproud/thewayyoudothethingsyoudo.htm
War	https://www.allmusicals.com/lyrics/ainttooproud/war.htm
What Becomes of the Brokenhearted	https://www.allmusicals.com/lyrics/ainttooproud/whatbecomesofthebrokenhearted.htm
You Can’t Hurry Love	https://www.allmusicals.com/lyrics/ainttooproud/youcanthurrylove.htm
You're My Everything	https://www.allmusicals.com/lyrics/ainttooproud/youremyeverything.htm
