song-name	url
Overture	https://www.allmusicals.com/lyrics/aladdin/overture.htm
Arabian Nights	https://www.allmusicals.com/lyrics/aladdin/arabiannights.htm
One Jump Ahead	https://www.allmusicals.com/lyrics/aladdin/onejumpahead.htm
Proud of Your Boy	https://www.allmusicals.com/lyrics/aladdin/proudofyourboy.htm
These Palace Walls	https://www.allmusicals.com/lyrics/aladdin/thesepalacewalls.htm
Babkak, Omar, Aladdin, Kassim	https://www.allmusicals.com/lyrics/aladdin/babkakomaraladdinkassim.htm
A Million Miles Away	https://www.allmusicals.com/lyrics/aladdin/amillionmilesaway.htm
Diamond in the Rough	https://www.allmusicals.com/lyrics/aladdin/diamondintherough.htm
Friend Like Me	https://www.allmusicals.com/lyrics/aladdin/friendlikeme.htm
Act I Finale	https://www.allmusicals.com/lyrics/aladdin/actifinale.htm
Prince Ali	https://www.allmusicals.com/lyrics/aladdin/princeali.htm
A Whole New World	https://www.allmusicals.com/lyrics/aladdin/awholenewworld.htm
High Adventure	https://www.allmusicals.com/lyrics/aladdin/highadventure.htm
Somebody's Got Your Back	https://www.allmusicals.com/lyrics/aladdin/somebodysgotyourback.htm
Proud of Your Boy (Reprise I)	https://www.allmusicals.com/lyrics/aladdin/proudofyourboyreprisei.htm
Prince Ali (Reprise)	https://www.allmusicals.com/lyrics/aladdin/princealireprise.htm
Finale Ultimo	https://www.allmusicals.com/lyrics/aladdin/finaleultimo.htm
