song-name	url
Overture	https://www.allmusicals.com/lyrics/allshookup/overture.htm
Love Me Tender	https://www.allmusicals.com/lyrics/allshookup/lovemetender.htm
Heartbreak Hotel	https://www.allmusicals.com/lyrics/allshookup/heartbreakhotel.htm
Roustabout	https://www.allmusicals.com/lyrics/allshookup/roustabout.htm
One Night With You	https://www.allmusicals.com/lyrics/allshookup/onenightwithyou.htm
C'mon Everybody	https://www.allmusicals.com/lyrics/allshookup/cmoneverybody.htm
Follow That Dream	https://www.allmusicals.com/lyrics/allshookup/followthatdream.htm
Teddy Bear/Hound Dog	https://www.allmusicals.com/lyrics/allshookup/teddybearhounddog.htm
Teddy Bear Dance	https://www.allmusicals.com/lyrics/allshookup/teddybeardance.htm
That's All Right	https://www.allmusicals.com/lyrics/allshookup/thatsallright.htm
You're the Devil in Disguise	https://www.allmusicals.com/lyrics/allshookup/yourethedevilindisguise.htm
It's Now or Never	https://www.allmusicals.com/lyrics/allshookup/itsnowornever.htm
Blue Suede Shoes	https://www.allmusicals.com/lyrics/allshookup/bluesuedeshoes.htm
Don't Be Cruel	https://www.allmusicals.com/lyrics/allshookup/dontbecruel.htm
Let Yourself Go	https://www.allmusicals.com/lyrics/allshookup/letyourselfgo.htm
Cant Help Falling in Love	https://www.allmusicals.com/lyrics/allshookup/canthelpfallinginlove.htm
All Shook Up	https://www.allmusicals.com/lyrics/allshookup/allshookup.htm
It Hurts Me	https://www.allmusicals.com/lyrics/allshookup/ithurtsme.htm
A Little Less Conversation	https://www.allmusicals.com/lyrics/allshookup/alittlelessconversation.htm
Power of My Love	https://www.allmusicals.com/lyrics/allshookup/powerofmylove.htm
I Don't Want To	https://www.allmusicals.com/lyrics/allshookup/idontwantto.htm
Jailhouse Rock	https://www.allmusicals.com/lyrics/allshookup/jailhouserock.htm
There's Always Me	https://www.allmusicals.com/lyrics/allshookup/theresalwaysme.htm
If I Can Dream	https://www.allmusicals.com/lyrics/allshookup/ificandream.htm
Fools Fall in Love	https://www.allmusicals.com/lyrics/allshookup/foolsfallinlove.htm
Burning Love	https://www.allmusicals.com/lyrics/allshookup/burninglove.htm
C'mon Everybody Encore	https://www.allmusicals.com/lyrics/allshookup/cmoneverybodyencore.htm
