song-name	url
We Are the Altar Boyz	https://www.allmusicals.com/lyrics/altarboyz/wearethealtarboyz.htm
God Put the Rhythm in Me	https://www.allmusicals.com/lyrics/altarboyz/godputtherhythminme.htm
Church Rulez	https://www.allmusicals.com/lyrics/altarboyz/churchrulez.htm
Calling	https://www.allmusicals.com/lyrics/altarboyz/calling.htm
Miracle Song	https://www.allmusicals.com/lyrics/altarboyz/miraclesong.htm
Everybody Fits	https://www.allmusicals.com/lyrics/altarboyz/everybodyfits.htm
Something About You	https://www.allmusicals.com/lyrics/altarboyz/somethingaboutyou.htm
Body Mind & Soul	https://www.allmusicals.com/lyrics/altarboyz/bodymindsoul.htm
La Vida Eternal	https://www.allmusicals.com/lyrics/altarboyz/lavidaeternal.htm
Epiphany	https://www.allmusicals.com/lyrics/altarboyz/epiphany.htm
Number 918	https://www.allmusicals.com/lyrics/altarboyz/number918.htm
I Believe	https://www.allmusicals.com/lyrics/altarboyz/ibelieve.htm
