song-name	url
Here	https://www.allmusicals.com/lyrics/americanutopia/here.htm
I Know Sometimes a Man Is Wrong	https://www.allmusicals.com/lyrics/americanutopia/iknowsometimesamaniswrong.htm
Don't Worry About the Government	https://www.allmusicals.com/lyrics/americanutopia/dontworryaboutthegovernment.htm
Lazy	https://www.allmusicals.com/lyrics/americanutopia/lazy.htm
This Must Be the Place	https://www.allmusicals.com/lyrics/americanutopia/thismustbetheplace.htm
I Zimbra	https://www.allmusicals.com/lyrics/americanutopia/izimbra.htm
Slippery People	https://www.allmusicals.com/lyrics/americanutopia/slipperypeople.htm
I Should Watch TV	https://www.allmusicals.com/lyrics/americanutopia/ishouldwatchtv.htm
Everybody's Coming to My House	https://www.allmusicals.com/lyrics/americanutopia/everybodyscomingtomyhouse.htm
Once in a Lifetime	https://www.allmusicals.com/lyrics/americanutopia/onceinalifetime.htm
Glass, Concrete & Stone	https://www.allmusicals.com/lyrics/americanutopia/glassconcretestone.htm
Toe Jam	https://www.allmusicals.com/lyrics/americanutopia/toejam.htm
Born Under Punches	https://www.allmusicals.com/lyrics/americanutopia/bornunderpunches.htm
I Dance Like This	https://www.allmusicals.com/lyrics/americanutopia/idancelikethis.htm
Bullet	https://www.allmusicals.com/lyrics/americanutopia/bullet.htm
Every Day Is a Miracle	https://www.allmusicals.com/lyrics/americanutopia/everydayisamiracle.htm
Blind	https://www.allmusicals.com/lyrics/americanutopia/blind.htm
Burning Down the House	https://www.allmusicals.com/lyrics/americanutopia/burningdownthehouse.htm
Hell You Talmbout	https://www.allmusicals.com/lyrics/americanutopia/hellyoutalmbout.htm
One Fine Day	https://www.allmusicals.com/lyrics/americanutopia/onefineday.htm
Road to Nowhere	https://www.allmusicals.com/lyrics/americanutopia/roadtonowhere.htm
The Great Curve	https://www.allmusicals.com/lyrics/americanutopia/thegreatcurve.htm
