song-name	url
Prologue: Once Upon a December	https://www.allmusicals.com/lyrics/anastasia/prologueonceuponadecember.htm
A Rumor in St Petersburg	https://www.allmusicals.com/lyrics/anastasia/arumorinstpetersburg.htm
In My Dreams	https://www.allmusicals.com/lyrics/anastasia/inmydreams.htm
Learn to Do It	https://www.allmusicals.com/lyrics/anastasia/learntodoit.htm
The Neva Flows	https://www.allmusicals.com/lyrics/anastasia/thenevaflows.htm
My Petersburg	https://www.allmusicals.com/lyrics/anastasia/mypetersburg.htm
Once Upon a December	https://www.allmusicals.com/lyrics/anastasia/onceuponadecember.htm
A Secret She Kept	https://www.allmusicals.com/lyrics/anastasia/asecretshekept.htm
Stay, I Pray You	https://www.allmusicals.com/lyrics/anastasia/stayiprayyou.htm
We'll Go From There	https://www.allmusicals.com/lyrics/anastasia/wellgofromthere.htm
Still	https://www.allmusicals.com/lyrics/anastasia/still.htm
Journey to the Past	https://www.allmusicals.com/lyrics/anastasia/journeytothepast.htm
Paris Holds the Key (To Your Heart)	https://www.allmusicals.com/lyrics/anastasia/parisholdsthekeytoyourheart.htm
Crossing a Bridge	https://www.allmusicals.com/lyrics/anastasia/crossingabridge.htm
Close the Door	https://www.allmusicals.com/lyrics/anastasia/closethedoor.htm
Land of Yesterday	https://www.allmusicals.com/lyrics/anastasia/landofyesterday.htm
The Countess and the Common Man	https://www.allmusicals.com/lyrics/anastasia/thecountessandthecommonman.htm
In a Crowd of Thousands	https://www.allmusicals.com/lyrics/anastasia/inacrowdofthousands.htm
Meant to Be	https://www.allmusicals.com/lyrics/anastasia/meanttobe.htm
Quartet at the Ballet	https://www.allmusicals.com/lyrics/anastasia/quartetattheballet.htm
Everything to Win	https://www.allmusicals.com/lyrics/anastasia/everythingtowin.htm
Once Upon a December (Reprise)	https://www.allmusicals.com/lyrics/anastasia/onceuponadecemberreprise.htm
The Press Conference	https://www.allmusicals.com/lyrics/anastasia/thepressconference.htm
Everything to Win (Reprise)	https://www.allmusicals.com/lyrics/anastasia/everythingtowinreprise.htm
Still/The Neva Flows (Reprises)	https://www.allmusicals.com/lyrics/anastasia/stillthenevaflowsreprises.htm
Finale	https://www.allmusicals.com/lyrics/anastasia/finale.htm
