song-name	url
Memory - Betty Buckley	https://www.allmusicals.com/lyrics/andrewlloydwebberdivas/memorybettybuckley.htm
Music Of The Night - Katherine Jenkins	https://www.allmusicals.com/lyrics/andrewlloydwebberdivas/musicofthenightkatherinejenkins.htm
Don't Cry For Me, Argentina - Madonna	https://www.allmusicals.com/lyrics/andrewlloydwebberdivas/dontcryformeargentinamadonna.htm
All I Ask Of You - Shirley Bassey	https://www.allmusicals.com/lyrics/andrewlloydwebberdivas/alliaskofyoushirleybassey.htm
Surrender - Sarah Brightman	https://www.allmusicals.com/lyrics/andrewlloydwebberdivas/surrendersarahbrightman.htm
With One Look - Glenn Close	https://www.allmusicals.com/lyrics/andrewlloydwebberdivas/withonelookglennclose.htm
Learn To Be Lonely - Minnie Driver	https://www.allmusicals.com/lyrics/andrewlloydwebberdivas/learntobelonelyminniedriver.htm
The Perfect Year - Dina Carroll	https://www.allmusicals.com/lyrics/andrewlloydwebberdivas/theperfectyeardinacarroll.htm
I Don't Know How To Love Him - Yvonne Elliman	https://www.allmusicals.com/lyrics/andrewlloydwebberdivas/idontknowhowtolovehimyvonneelliman.htm
Buenos Aires - Patti Lupone	https://www.allmusicals.com/lyrics/andrewlloydwebberdivas/buenosairespattilupone.htm
As If We Never Said Goodbye - Barbra Streisand	https://www.allmusicals.com/lyrics/andrewlloydwebberdivas/asifweneversaidgoodbyebarbrastreisand.htm
Rainbow High - Elaine Paige	https://www.allmusicals.com/lyrics/andrewlloydwebberdivas/rainbowhighelainepaige.htm
Tell Me On A Sunday - Marti Webb	https://www.allmusicals.com/lyrics/andrewlloydwebberdivas/tellmeonasundaymartiwebb.htm
The Heart Is Slow To Learn - Kiri Te Kanawa	https://www.allmusicals.com/lyrics/andrewlloydwebberdivas/theheartisslowtolearnkiritekanawa.htm
Another Suitcase Another Hall - Barbara Dickson	https://www.allmusicals.com/lyrics/andrewlloydwebberdivas/anothersuitcaseanotherhallbarbaradickson.htm
