song-name	url
Overture	https://www.allmusicals.com/lyrics/annie/overture.htm
Maybe	https://www.allmusicals.com/lyrics/annie/maybe.htm
Hard-Knock Life	https://www.allmusicals.com/lyrics/annie/hardknocklife.htm
Hard Knock Life (Reprise)	https://www.allmusicals.com/lyrics/annie/hardknocklifereprise.htm
Tomorrow	https://www.allmusicals.com/lyrics/annie/tomorrow.htm
We'd Like to Thank You Herbert Hoover	https://www.allmusicals.com/lyrics/annie/wedliketothankyouherberthoover.htm
Little Girls	https://www.allmusicals.com/lyrics/annie/littlegirls.htm
Little Girls (Reprise)	https://www.allmusicals.com/lyrics/annie/littlegirlsreprise.htm
I Think I'm Gonna Like It Here	https://www.allmusicals.com/lyrics/annie/ithinkimgonnalikeithere.htm
NYC	https://www.allmusicals.com/lyrics/annie/nyc.htm
NYC (Reprise)/Lullaby	https://www.allmusicals.com/lyrics/annie/nycrepriselullaby.htm
Easy Street	https://www.allmusicals.com/lyrics/annie/easystreet.htm
You Won't Be an Orphan for Long	https://www.allmusicals.com/lyrics/annie/youwontbeanorphanforlong.htm
Maybe (Reprise)	https://www.allmusicals.com/lyrics/annie/maybereprise.htm
You're Never Fully Dressed Without a Smile	https://www.allmusicals.com/lyrics/annie/youreneverfullydressedwithoutasmile.htm
You're Never Fully Dressed Without a Smile (Children Reprise)	https://www.allmusicals.com/lyrics/annie/youreneverfullydressedwithoutasmilechildrenreprise.htm
Easy Street (Reprise)	https://www.allmusicals.com/lyrics/annie/easystreetreprise.htm
Tomorrow (Reprise)	https://www.allmusicals.com/lyrics/annie/tomorrowreprise.htm
Something Was Missing	https://www.allmusicals.com/lyrics/annie/somethingwasmissing.htm
Annie	https://www.allmusicals.com/lyrics/annie/annie.htm
I Don't Need Anything But You	https://www.allmusicals.com/lyrics/annie/idontneedanythingbutyou.htm
New Deal for Christmas	https://www.allmusicals.com/lyrics/annie/newdealforchristmas.htm
We Got Annie	https://www.allmusicals.com/lyrics/annie/wegotannie.htm
