song-name	url
Overture	https://www.allmusicals.com/lyrics/anniegetyourgun/overture.htm
Colonel Buffalo Bill	https://www.allmusicals.com/lyrics/anniegetyourgun/colonelbuffalobill.htm
I'm a Bad, Bad Man	https://www.allmusicals.com/lyrics/anniegetyourgun/imabadbadman.htm
Doin' What Comes Natur'lly	https://www.allmusicals.com/lyrics/anniegetyourgun/doinwhatcomesnaturlly.htm
Girl That I Marry	https://www.allmusicals.com/lyrics/anniegetyourgun/girlthatimarry.htm
You Can't Get a Man With a Gun	https://www.allmusicals.com/lyrics/anniegetyourgun/youcantgetamanwithagun.htm
There's No Business Like Show Business	https://www.allmusicals.com/lyrics/anniegetyourgun/theresnobusinesslikeshowbusiness.htm
They Say It's Wonderful	https://www.allmusicals.com/lyrics/anniegetyourgun/theysayitswonderful.htm
Moonshine Lullaby	https://www.allmusicals.com/lyrics/anniegetyourgun/moonshinelullaby.htm
I'll Share It All With You	https://www.allmusicals.com/lyrics/anniegetyourgun/illshareitallwithyou.htm
There's No Business Like Show Business (Reprise)	https://www.allmusicals.com/lyrics/anniegetyourgun/theresnobusinesslikeshowbusinessreprise.htm
My Defenses Are Down	https://www.allmusicals.com/lyrics/anniegetyourgun/mydefensesaredown.htm
I'm an Indian, Too	https://www.allmusicals.com/lyrics/anniegetyourgun/imanindiantoo.htm
I Got Lost in His Arms	https://www.allmusicals.com/lyrics/anniegetyourgun/igotlostinhisarms.htm
Who Do You Love, I Hope	https://www.allmusicals.com/lyrics/anniegetyourgun/whodoyouloveihope.htm
I Got the Sun in the Morning	https://www.allmusicals.com/lyrics/anniegetyourgun/igotthesuninthemorning.htm
Old Fashioned Wedding	https://www.allmusicals.com/lyrics/anniegetyourgun/oldfashionedwedding.htm
Anything You Can Do	https://www.allmusicals.com/lyrics/anniegetyourgun/anythingyoucando.htm
Finale	https://www.allmusicals.com/lyrics/anniegetyourgun/finale.htm
