song-name	url
Overture	https://www.allmusicals.com/lyrics/anythinggoes/overture.htm
I Get a Kick Out of You	https://www.allmusicals.com/lyrics/anythinggoes/igetakickoutofyou.htm
There's No Cure Like Travel	https://www.allmusicals.com/lyrics/anythinggoes/theresnocureliketravel.htm
Bon Voyage	https://www.allmusicals.com/lyrics/anythinggoes/bonvoyage.htm
All Through the Night	https://www.allmusicals.com/lyrics/anythinggoes/allthroughthenight.htm
Easy to Love	https://www.allmusicals.com/lyrics/anythinggoes/easytolove.htm
I Want to Row on the Crew	https://www.allmusicals.com/lyrics/anythinggoes/iwanttorowonthecrew.htm
You're the Top	https://www.allmusicals.com/lyrics/anythinggoes/yourethetop.htm
Sailor's Chantey	https://www.allmusicals.com/lyrics/anythinggoes/sailorschantey.htm
Freindship	https://www.allmusicals.com/lyrics/anythinggoes/freindship.htm
It's De-Lovely	https://www.allmusicals.com/lyrics/anythinggoes/itsdelovely.htm
Anything Goes	https://www.allmusicals.com/lyrics/anythinggoes/anythinggoes.htm
Entr'acte	https://www.allmusicals.com/lyrics/anythinggoes/entracte.htm
Public Enemy Number One	https://www.allmusicals.com/lyrics/anythinggoes/publicenemynumberone.htm
Blow, Gabriel, Blow	https://www.allmusicals.com/lyrics/anythinggoes/blowgabrielblow.htm
Goodbye Little Dream, Goodbye	https://www.allmusicals.com/lyrics/anythinggoes/goodbyelittledreamgoodbye.htm
Be Like the Bluebird	https://www.allmusicals.com/lyrics/anythinggoes/belikethebluebird.htm
Gypsy in Me	https://www.allmusicals.com/lyrics/anythinggoes/gypsyinme.htm
Buddie, Beware	https://www.allmusicals.com/lyrics/anythinggoes/buddiebeware.htm
I Get a Kick Out of You (Reprise)	https://www.allmusicals.com/lyrics/anythinggoes/igetakickoutofyoureprise.htm
Anything Goes (Reprise)	https://www.allmusicals.com/lyrics/anythinggoes/anythinggoesreprise.htm
Take Me Back To Manhattan	https://www.allmusicals.com/lyrics/anythinggoes/takemebacktomanhattan.htm
