song-name	url
Here In Eden	https://www.allmusicals.com/lyrics/appletreethe/hereineden.htm
Feelings	https://www.allmusicals.com/lyrics/appletreethe/feelings.htm
Eve	https://www.allmusicals.com/lyrics/appletreethe/eve.htm
Friends	https://www.allmusicals.com/lyrics/appletreethe/friends.htm
The Apple Tree (Forbidden Fruit)	https://www.allmusicals.com/lyrics/appletreethe/theappletreeforbiddenfruit.htm
Beautiful, Beautiful World	https://www.allmusicals.com/lyrics/appletreethe/beautifulbeautifulworld.htm
It's A Fish	https://www.allmusicals.com/lyrics/appletreethe/itsafish.htm
Go To Sleep, Whatever You Are	https://www.allmusicals.com/lyrics/appletreethe/gotosleepwhateveryouare.htm
What Makes Me Love Him?	https://www.allmusicals.com/lyrics/appletreethe/whatmakesmelovehim.htm
The Lady Or The Tiger?	https://www.allmusicals.com/lyrics/appletreethe/theladyorthetiger.htm
I'll Tell You A Truth	https://www.allmusicals.com/lyrics/appletreethe/illtellyouatruth.htm
Make Way	https://www.allmusicals.com/lyrics/appletreethe/makeway.htm
Forbidden Love (In Gaul)	https://www.allmusicals.com/lyrics/appletreethe/forbiddenloveingaul.htm
The Apple Tree (Reprise)	https://www.allmusicals.com/lyrics/appletreethe/theappletreereprise.htm
I've Got What You Want	https://www.allmusicals.com/lyrics/appletreethe/ivegotwhatyouwant.htm
Tiger, Tiger	https://www.allmusicals.com/lyrics/appletreethe/tigertiger.htm
Make Way (Reprise)/Which Door?	https://www.allmusicals.com/lyrics/appletreethe/makewayreprisewhichdoor.htm
Oh, To Be A Movie Star	https://www.allmusicals.com/lyrics/appletreethe/ohtobeamoviestar.htm
Gorgeous	https://www.allmusicals.com/lyrics/appletreethe/gorgeous.htm
(Who, Who, Who, Who,) Who Is She?	https://www.allmusicals.com/lyrics/appletreethe/whowhowhowhowhoisshe.htm
I Know	https://www.allmusicals.com/lyrics/appletreethe/iknow.htm
Wealth	https://www.allmusicals.com/lyrics/appletreethe/wealth.htm
You Are Not Real	https://www.allmusicals.com/lyrics/appletreethe/youarenotreal.htm
Passionella Postlude/Finale	https://www.allmusicals.com/lyrics/appletreethe/passionellapostludefinale.htm
