song-name	url
Love Changes Everything	https://www.allmusicals.com/lyrics/aspectsoflove/lovechangeseverything.htm
A Small Theatre in Montphile	https://www.allmusicals.com/lyrics/aspectsoflove/asmalltheatreinmontphile.htm
Parlez-vous Francais?	https://www.allmusicals.com/lyrics/aspectsoflove/parlezvousfrancais.htm
The Railway Station	https://www.allmusicals.com/lyrics/aspectsoflove/therailwaystation.htm
Seeing is Believing	https://www.allmusicals.com/lyrics/aspectsoflove/seeingisbelieving.htm
The House in Pau	https://www.allmusicals.com/lyrics/aspectsoflove/thehouseinpau.htm
An Art Exhibition in Paris	https://www.allmusicals.com/lyrics/aspectsoflove/anartexhibitioninparis.htm
A Memory of a Happy Moment	https://www.allmusicals.com/lyrics/aspectsoflove/amemoryofahappymoment.htm
In Many Rooms in the House at Pau	https://www.allmusicals.com/lyrics/aspectsoflove/inmanyroomsinthehouseatpau.htm
On the Terrace	https://www.allmusicals.com/lyrics/aspectsoflove/ontheterrace.htm
Outside the Bedroom	https://www.allmusicals.com/lyrics/aspectsoflove/outsidethebedroom.htm
Chanson d'Enfance	https://www.allmusicals.com/lyrics/aspectsoflove/chansondenfance.htm
At the House at Pau	https://www.allmusicals.com/lyrics/aspectsoflove/atthehouseatpau.htm
Everybody Loves A Hero	https://www.allmusicals.com/lyrics/aspectsoflove/everybodylovesahero.htm
George's flat in Paris	https://www.allmusicals.com/lyrics/aspectsoflove/georgesflatinparis.htm
First Orchestral Interlude	https://www.allmusicals.com/lyrics/aspectsoflove/firstorchestralinterlude.htm
She'd Be Far Better Off with You	https://www.allmusicals.com/lyrics/aspectsoflove/shedbefarbetteroffwithyou.htm
Second Orchestral interlude	https://www.allmusicals.com/lyrics/aspectsoflove/secondorchestralinterlude.htm
Stop. Wait. Please.	https://www.allmusicals.com/lyrics/aspectsoflove/stopwaitplease.htm
A registry office	https://www.allmusicals.com/lyrics/aspectsoflove/aregistryoffice.htm
A Military Camp in Malaysia	https://www.allmusicals.com/lyrics/aspectsoflove/amilitarycampinmalaysia.htm
Orchestral introduction to Act 2	https://www.allmusicals.com/lyrics/aspectsoflove/orchestralintroductiontoact2.htm
A theatre in Paris	https://www.allmusicals.com/lyrics/aspectsoflove/atheatreinparis.htm
Leading Lady	https://www.allmusicals.com/lyrics/aspectsoflove/leadinglady.htm
At the Stage Door	https://www.allmusicals.com/lyrics/aspectsoflove/atthestagedoor.htm
George's House at Pau	https://www.allmusicals.com/lyrics/aspectsoflove/georgeshouseatpau.htm
Other Pleasures	https://www.allmusicals.com/lyrics/aspectsoflove/otherpleasures.htm
A Cafe in Venice	https://www.allmusicals.com/lyrics/aspectsoflove/acafeinvenice.htm
There is More to Love	https://www.allmusicals.com/lyrics/aspectsoflove/thereismoretolove.htm
The garden in Pau	https://www.allmusicals.com/lyrics/aspectsoflove/thegardeninpau.htm
Mermaid Song	https://www.allmusicals.com/lyrics/aspectsoflove/mermaidsong.htm
The Country Side Around the House	https://www.allmusicals.com/lyrics/aspectsoflove/thecountrysidearoundthehouse.htm
The Garden at Pau	https://www.allmusicals.com/lyrics/aspectsoflove/thegardenatpau.htm
On the terrace	https://www.allmusicals.com/lyrics/aspectsoflove/ontheterrace.htm
The First Man You Remember	https://www.allmusicals.com/lyrics/aspectsoflove/thefirstmanyouremember.htm
The Vineyard at Pau	https://www.allmusicals.com/lyrics/aspectsoflove/thevineyardatpau.htm
Up in the Pyrenees	https://www.allmusicals.com/lyrics/aspectsoflove/upinthepyrenees.htm
George's Study at Pau	https://www.allmusicals.com/lyrics/aspectsoflove/georgesstudyatpau.htm
Journey of a Lifetime	https://www.allmusicals.com/lyrics/aspectsoflove/journeyofalifetime.htm
Falling	https://www.allmusicals.com/lyrics/aspectsoflove/falling.htm
Jenny's Bedroom in Paris	https://www.allmusicals.com/lyrics/aspectsoflove/jennysbedroominparis.htm
Hand Me the Wine And the Dice	https://www.allmusicals.com/lyrics/aspectsoflove/handmethewineandthedice.htm
A Hey Loft	https://www.allmusicals.com/lyrics/aspectsoflove/aheyloft.htm
On the Terrace	https://www.allmusicals.com/lyrics/aspectsoflove/ontheterrace.htm
Anything But Lonely	https://www.allmusicals.com/lyrics/aspectsoflove/anythingbutlonely.htm
