song-name	url
Everybody's Got the Right	https://www.allmusicals.com/lyrics/assassins/everybodysgottheright.htm
Ballad of Booth	https://www.allmusicals.com/lyrics/assassins/balladofbooth.htm
Ladies and Gentlemen, A Toast!/How I Saved Roosevelt	https://www.allmusicals.com/lyrics/assassins/ladiesandgentlemenatoasthowisavedroosevelt.htm
What Does a Man Do...?/Gun Song	https://www.allmusicals.com/lyrics/assassins/whatdoesamandogunsong.htm
Ballad of Czolgosz	https://www.allmusicals.com/lyrics/assassins/balladofczolgosz.htm
Unworthy of Your Love	https://www.allmusicals.com/lyrics/assassins/unworthyofyourlove.htm
I Am a Terrifying and Imposing Figure...!/Ballad of Guiteau	https://www.allmusicals.com/lyrics/assassins/iamaterrifyingandimposingfigureballadofguiteau.htm
Have It Your Way	https://www.allmusicals.com/lyrics/assassins/haveityourway.htm
Another National Anthem	https://www.allmusicals.com/lyrics/assassins/anothernationalanthem.htm
Take a Look Lee	https://www.allmusicals.com/lyrics/assassins/takealooklee.htm
Something Just Broke	https://www.allmusicals.com/lyrics/assassins/somethingjustbroke.htm
Everybody's Got the Right (Finale)	https://www.allmusicals.com/lyrics/assassins/everybodysgottherightfinale.htm
