song-name	url
Man Bites Dog	https://www.allmusicals.com/lyrics/asthousandscheer/manbitesdog.htm
How's Chances?	https://www.allmusicals.com/lyrics/asthousandscheer/howschances.htm
Heat Wave	https://www.allmusicals.com/lyrics/asthousandscheer/heatwave.htm
Debts	https://www.allmusicals.com/lyrics/asthousandscheer/debts.htm
Lonely Heart	https://www.allmusicals.com/lyrics/asthousandscheer/lonelyheart.htm
The Funnies	https://www.allmusicals.com/lyrics/asthousandscheer/thefunnies.htm
Easter Parade	https://www.allmusicals.com/lyrics/asthousandscheer/easterparade.htm
Metropolitan Opening	https://www.allmusicals.com/lyrics/asthousandscheer/metropolitanopening.htm
Supper Time	https://www.allmusicals.com/lyrics/asthousandscheer/suppertime.htm
Our Wedding Day	https://www.allmusicals.com/lyrics/asthousandscheer/ourweddingday.htm
Harlem On My Mind	https://www.allmusicals.com/lyrics/asthousandscheer/harlemonmymind.htm
Through A Keyhole	https://www.allmusicals.com/lyrics/asthousandscheer/throughakeyhole.htm
Finale: Not For All The Rice In China	https://www.allmusicals.com/lyrics/asthousandscheer/finalenotforallthericeinchina.htm
Let's Have Another Cup Of Coffee	https://www.allmusicals.com/lyrics/asthousandscheer/letshaveanothercupofcoffee.htm
