song-name	url
The Avenue Q Theme	https://www.allmusicals.com/lyrics/avenueq/theavenueqtheme.htm
What Do You Do with a B.A. in English?	https://www.allmusicals.com/lyrics/avenueq/whatdoyoudowithabainenglish.htm
It Sucks To Be Me	https://www.allmusicals.com/lyrics/avenueq/itsuckstobeme.htm
If You Were Gay	https://www.allmusicals.com/lyrics/avenueq/ifyouweregay.htm
Purpose	https://www.allmusicals.com/lyrics/avenueq/purpose.htm
Everyone's A Little Bit Racist	https://www.allmusicals.com/lyrics/avenueq/everyonesalittlebitracist.htm
The Internet Is For Porn	https://www.allmusicals.com/lyrics/avenueq/theinternetisforporn.htm
Mix Tape	https://www.allmusicals.com/lyrics/avenueq/mixtape.htm
I'm Not Wearing Underwear Today	https://www.allmusicals.com/lyrics/avenueq/imnotwearingunderweartoday.htm
Special	https://www.allmusicals.com/lyrics/avenueq/special.htm
You Can Be as Loud as the Hell You Want	https://www.allmusicals.com/lyrics/avenueq/youcanbeasloudasthehellyouwant.htm
Fantasies Come True	https://www.allmusicals.com/lyrics/avenueq/fantasiescometrue.htm
My Girlfriend, Who Lives in Canada	https://www.allmusicals.com/lyrics/avenueq/mygirlfriendwholivesincanada.htm
There's a Fine, Fine Line	https://www.allmusicals.com/lyrics/avenueq/theresafinefineline.htm
There Is Life Outside Your Apartment	https://www.allmusicals.com/lyrics/avenueq/thereislifeoutsideyourapartment.htm
The More You Ruv Someone	https://www.allmusicals.com/lyrics/avenueq/themoreyouruvsomeone.htm
Schadenfreude	https://www.allmusicals.com/lyrics/avenueq/schadenfreude.htm
I Wish I Could Go Back to College	https://www.allmusicals.com/lyrics/avenueq/iwishicouldgobacktocollege.htm
The Money Song	https://www.allmusicals.com/lyrics/avenueq/themoneysong.htm
School for Monsters/The Money Song (Reprise)	https://www.allmusicals.com/lyrics/avenueq/schoolformonstersthemoneysongreprise.htm
There's A Fine, Fine Line (Reprise)	https://www.allmusicals.com/lyrics/avenueq/theresafinefinelinereprise.htm
What Do You Do With A B.A. In English? (Reprise)	https://www.allmusicals.com/lyrics/avenueq/whatdoyoudowithabainenglishreprise.htm
For Now	https://www.allmusicals.com/lyrics/avenueq/fornow.htm
Tear It Up And Throw It Away	https://www.allmusicals.com/lyrics/avenueq/tearitupandthrowitaway.htm
