song-name	url
Where Or When	https://www.allmusicals.com/lyrics/babesinarms/whereorwhen.htm
Babes In Arms	https://www.allmusicals.com/lyrics/babesinarms/babesinarms.htm
I Wish I Were In Love Again	https://www.allmusicals.com/lyrics/babesinarms/iwishiwereinloveagain.htm
Way Out West	https://www.allmusicals.com/lyrics/babesinarms/wayoutwest.htm
My Funny Valentine	https://www.allmusicals.com/lyrics/babesinarms/myfunnyvalentine.htm
Johnny One-Note	https://www.allmusicals.com/lyrics/babesinarms/johnnyonenote.htm
Imagine	https://www.allmusicals.com/lyrics/babesinarms/imagine.htm
All At Once	https://www.allmusicals.com/lyrics/babesinarms/allatonce.htm
The Lady Is A Tramp	https://www.allmusicals.com/lyrics/babesinarms/theladyisatramp.htm
You Are So Fair	https://www.allmusicals.com/lyrics/babesinarms/youaresofair.htm
Finale	https://www.allmusicals.com/lyrics/babesinarms/finale.htm
