song-name	url
Overture	https://www.allmusicals.com/lyrics/backtothefuture/overture.htm
It’s Only a Matter of Time	https://www.allmusicals.com/lyrics/backtothefuture/itsonlyamatteroftime.htm
Audition (The Power of Love)/Got No Future	https://www.allmusicals.com/lyrics/backtothefuture/auditionthepoweroflovegotnofuture.htm
Wherever We’re Going	https://www.allmusicals.com/lyrics/backtothefuture/whereverweregoing.htm
Hello, Is Anybody Home	https://www.allmusicals.com/lyrics/backtothefuture/helloisanybodyhome.htm
It Works	https://www.allmusicals.com/lyrics/backtothefuture/itworks.htm
Don’t Drive 88!	https://www.allmusicals.com/lyrics/backtothefuture/dontdrive88.htm
Cake	https://www.allmusicals.com/lyrics/backtothefuture/cake.htm
Gotta Start Somewhere	https://www.allmusicals.com/lyrics/backtothefuture/gottastartsomewhere.htm
My Myopia	https://www.allmusicals.com/lyrics/backtothefuture/mymyopia.htm
Pretty Baby	https://www.allmusicals.com/lyrics/backtothefuture/prettybaby.htm
Future Boy	https://www.allmusicals.com/lyrics/backtothefuture/futureboy.htm
Something About That Boy	https://www.allmusicals.com/lyrics/backtothefuture/somethingaboutthatboy.htm
21st Century	https://www.allmusicals.com/lyrics/backtothefuture/21stcentury.htm
Put Your Mind to It	https://www.allmusicals.com/lyrics/backtothefuture/putyourmindtoit.htm
For the Dreamers	https://www.allmusicals.com/lyrics/backtothefuture/forthedreamers.htm
Teach Him a Lesson	https://www.allmusicals.com/lyrics/backtothefuture/teachhimalesson.htm
The Letter/Only a Matter of Time (Reprise)	https://www.allmusicals.com/lyrics/backtothefuture/theletteronlyamatteroftimereprise.htm
Deep Divin’	https://www.allmusicals.com/lyrics/backtothefuture/deepdivin.htm
Earth Angel (Will You Be Mine)	https://www.allmusicals.com/lyrics/backtothefuture/earthangelwillyoubemine.htm
Johnny B. Goode	https://www.allmusicals.com/lyrics/backtothefuture/johnnybgoode.htm
The Clocktower/For the Dreamers (Reprise)	https://www.allmusicals.com/lyrics/backtothefuture/theclocktowerforthedreamersreprise.htm
The Power of Love	https://www.allmusicals.com/lyrics/backtothefuture/thepoweroflove.htm
Doc Returns/Finale	https://www.allmusicals.com/lyrics/backtothefuture/docreturnsfinale.htm
Back in Time	https://www.allmusicals.com/lyrics/backtothefuture/backintime.htm
Exit Music (Back in Time)	https://www.allmusicals.com/lyrics/backtothefuture/exitmusicbackintime.htm
