song-name	url
I Shouldn't Be Here	https://www.allmusicals.com/lyrics/badgirls/ishouldntbehere.htm
Guardian Angel	https://www.allmusicals.com/lyrics/badgirls/guardianangel.htm
Jailcraft	https://www.allmusicals.com/lyrics/badgirls/jailcraft.htm
One Moment	https://www.allmusicals.com/lyrics/badgirls/onemoment.htm
A Life of Grime	https://www.allmusicals.com/lyrics/badgirls/alifeofgrime.htm
A-List	https://www.allmusicals.com/lyrics/badgirls/alist.htm
The Key	https://www.allmusicals.com/lyrics/badgirls/thekey.htm
That's the Way It Is	https://www.allmusicals.com/lyrics/badgirls/thatsthewayitis.htm
Freedom Road	https://www.allmusicals.com/lyrics/badgirls/freedomroad.htm
The Future Is Bright	https://www.allmusicals.com/lyrics/badgirls/thefutureisbright.htm
Sorry	https://www.allmusicals.com/lyrics/badgirls/sorry.htm
Every Night	https://www.allmusicals.com/lyrics/badgirls/everynight.htm
All Banged Up	https://www.allmusicals.com/lyrics/badgirls/allbangedup.htm
The Baddest and the Best	https://www.allmusicals.com/lyrics/badgirls/thebaddestandthebest.htm
First Lady	https://www.allmusicals.com/lyrics/badgirls/firstlady.htm
The Baddest and the Best (Reprise)	https://www.allmusicals.com/lyrics/badgirls/thebaddestandthebestreprise.htm
This Is My Life	https://www.allmusicals.com/lyrics/badgirls/thisismylife.htm
