song-name	url
Overture	https://www.allmusicals.com/lyrics/bandsvisit/overture.htm
Waiting	https://www.allmusicals.com/lyrics/bandsvisit/waiting.htm
Welcome to Nowhere	https://www.allmusicals.com/lyrics/bandsvisit/welcometonowhere.htm
It Is What It Is	https://www.allmusicals.com/lyrics/bandsvisit/itiswhatitis.htm
Beat Of Your Heart	https://www.allmusicals.com/lyrics/bandsvisit/beatofyourheart.htm
Soraya	https://www.allmusicals.com/lyrics/bandsvisit/soraya.htm
Omar Sharif	https://www.allmusicals.com/lyrics/bandsvisit/omarsharif.htm
Haj-Butrus	https://www.allmusicals.com/lyrics/bandsvisit/hajbutrus.htm
Papi Hears the Ocean	https://www.allmusicals.com/lyrics/bandsvisit/papihearstheocean.htm
Haled's Song About Love	https://www.allmusicals.com/lyrics/bandsvisit/haledssongaboutlove.htm
The Park	https://www.allmusicals.com/lyrics/bandsvisit/thepark.htm
Itgara'a	https://www.allmusicals.com/lyrics/bandsvisit/itgaraa.htm
Something Different	https://www.allmusicals.com/lyrics/bandsvisit/somethingdifferent.htm
Itzik's Lullaby	https://www.allmusicals.com/lyrics/bandsvisit/itzikslullaby.htm
Something Different (Reprise)	https://www.allmusicals.com/lyrics/bandsvisit/somethingdifferentreprise.htm
Answer Me	https://www.allmusicals.com/lyrics/bandsvisit/answerme.htm
The Concert	https://www.allmusicals.com/lyrics/bandsvisit/theconcert.htm
Afifi (Bonus Track)	https://www.allmusicals.com/lyrics/bandsvisit/afifibonustrack.htm
