song-name	url
Epiphany	https://www.allmusicals.com/lyrics/bareapopopera/epiphany.htm
You And I	https://www.allmusicals.com/lyrics/bareapopopera/youandi.htm
Role of a Lifetime	https://www.allmusicals.com/lyrics/bareapopopera/roleofalifetime.htm
Auditions	https://www.allmusicals.com/lyrics/bareapopopera/auditions.htm
Plain Jane Fat Ass	https://www.allmusicals.com/lyrics/bareapopopera/plainjanefatass.htm
Wonderland	https://www.allmusicals.com/lyrics/bareapopopera/wonderland.htm
A Quiet Night at Home	https://www.allmusicals.com/lyrics/bareapopopera/aquietnightathome.htm
Rolling	https://www.allmusicals.com/lyrics/bareapopopera/rolling.htm
Best Kept Secret	https://www.allmusicals.com/lyrics/bareapopopera/bestkeptsecret.htm
Confession	https://www.allmusicals.com/lyrics/bareapopopera/confession.htm
Portrait of a Girl	https://www.allmusicals.com/lyrics/bareapopopera/portraitofagirl.htm
Birthday, Bitch!	https://www.allmusicals.com/lyrics/bareapopopera/birthdaybitch.htm
One Kiss	https://www.allmusicals.com/lyrics/bareapopopera/onekiss.htm
Are You There	https://www.allmusicals.com/lyrics/bareapopopera/areyouthere.htm
911! Emergency!	https://www.allmusicals.com/lyrics/bareapopopera/911emergency.htm
Reputation Stain'd	https://www.allmusicals.com/lyrics/bareapopopera/reputationstaind.htm
Ever After	https://www.allmusicals.com/lyrics/bareapopopera/everafter.htm
Spring	https://www.allmusicals.com/lyrics/bareapopopera/spring.htm
One	https://www.allmusicals.com/lyrics/bareapopopera/one.htm
Wedding Bells	https://www.allmusicals.com/lyrics/bareapopopera/weddingbells.htm
In the Hallway	https://www.allmusicals.com/lyrics/bareapopopera/inthehallway.htm
Touch My Soul	https://www.allmusicals.com/lyrics/bareapopopera/touchmysoul.htm
See Me	https://www.allmusicals.com/lyrics/bareapopopera/seeme.htm
Warning	https://www.allmusicals.com/lyrics/bareapopopera/warning.htm
Pilgrim's Hands	https://www.allmusicals.com/lyrics/bareapopopera/pilgrimshands.htm
God Don't Make No Trash	https://www.allmusicals.com/lyrics/bareapopopera/goddontmakenotrash.htm
All Grown Up	https://www.allmusicals.com/lyrics/bareapopopera/allgrownup.htm
Promise	https://www.allmusicals.com/lyrics/bareapopopera/promise.htm
Once Upon A Time	https://www.allmusicals.com/lyrics/bareapopopera/onceuponatime.htm
Cross	https://www.allmusicals.com/lyrics/bareapopopera/cross.htm
Two Households	https://www.allmusicals.com/lyrics/bareapopopera/twohouseholds.htm
Bare	https://www.allmusicals.com/lyrics/bareapopopera/bare.htm
Queen Mab	https://www.allmusicals.com/lyrics/bareapopopera/queenmab.htm
A Glooming Peace	https://www.allmusicals.com/lyrics/bareapopopera/agloomingpeace.htm
Absolution	https://www.allmusicals.com/lyrics/bareapopopera/absolution.htm
Love, Dad	https://www.allmusicals.com/lyrics/bareapopopera/lovedad.htm
No Voice	https://www.allmusicals.com/lyrics/bareapopopera/novoice.htm
