song-name	url
Overture Chase	https://www.allmusicals.com/lyrics/barnum/overturechase.htm
There Is A Sucker Born Ev'ry Minute	https://www.allmusicals.com/lyrics/barnum/thereisasuckerbornevryminute.htm
Humble Beginnings Chase	https://www.allmusicals.com/lyrics/barnum/humblebeginningschase.htm
Thank God I'm Old	https://www.allmusicals.com/lyrics/barnum/thankgodimold.htm
The Colors Of My Life (Part 1)	https://www.allmusicals.com/lyrics/barnum/thecolorsofmylifepart1.htm
The Colors Of My Life (Part 2)	https://www.allmusicals.com/lyrics/barnum/thecolorsofmylifepart2.htm
One Brick At A Time	https://www.allmusicals.com/lyrics/barnum/onebrickatatime.htm
Museum Song	https://www.allmusicals.com/lyrics/barnum/museumsong.htm
Female Of The Species Chase	https://www.allmusicals.com/lyrics/barnum/femaleofthespecieschase.htm
I Like Your Style	https://www.allmusicals.com/lyrics/barnum/ilikeyourstyle.htm
Bigger Isn't Better	https://www.allmusicals.com/lyrics/barnum/biggerisntbetter.htm
Love Makes Such Fools Of Us All	https://www.allmusicals.com/lyrics/barnum/lovemakessuchfoolsofusall.htm
Midway Chase	https://www.allmusicals.com/lyrics/barnum/midwaychase.htm
Out There	https://www.allmusicals.com/lyrics/barnum/outthere.htm
Come Follow The Band	https://www.allmusicals.com/lyrics/barnum/comefollowtheband.htm
Black And White	https://www.allmusicals.com/lyrics/barnum/blackandwhite.htm
The Colors Of My Life (reprise)	https://www.allmusicals.com/lyrics/barnum/thecolorsofmylifereprise.htm
The Prince Of Humbug	https://www.allmusicals.com/lyrics/barnum/theprinceofhumbug.htm
Join The Circus	https://www.allmusicals.com/lyrics/barnum/jointhecircus.htm
Finale Chase	https://www.allmusicals.com/lyrics/barnum/finalechase.htm
The Final Event: There Is A Sucker Born Ev'ry Minute (Reprise)	https://www.allmusicals.com/lyrics/barnum/thefinaleventthereisasuckerbornevryminutereprise.htm
