song-name	url
Hold Me, Bat Boy	https://www.allmusicals.com/lyrics/batboy/holdmebatboy.htm
Christian Charity	https://www.allmusicals.com/lyrics/batboy/christiancharity.htm
Ugly Boy	https://www.allmusicals.com/lyrics/batboy/uglyboy.htm
Whatcha Wanna Do?	https://www.allmusicals.com/lyrics/batboy/whatchawannado.htm
A Home For You	https://www.allmusicals.com/lyrics/batboy/ahomeforyou.htm
Another Dead Cow	https://www.allmusicals.com/lyrics/batboy/anotherdeadcow.htm
Dance With Me, Darling	https://www.allmusicals.com/lyrics/batboy/dancewithmedarling.htm
Mrs. Taylor's Lullaby	https://www.allmusicals.com/lyrics/batboy/mrstaylorslullaby.htm
Show You A Thing Or Two	https://www.allmusicals.com/lyrics/batboy/showyouathingortwo.htm
Christian Charity (Reprise)	https://www.allmusicals.com/lyrics/batboy/christiancharityreprise.htm
A Home For You (Reprise)	https://www.allmusicals.com/lyrics/batboy/ahomeforyoureprise.htm
Comfort And Joy	https://www.allmusicals.com/lyrics/batboy/comfortandjoy.htm
A Joyful Noise	https://www.allmusicals.com/lyrics/batboy/ajoyfulnoise.htm
Let Me Walk Among You	https://www.allmusicals.com/lyrics/batboy/letmewalkamongyou.htm
Three Bedroom House	https://www.allmusicals.com/lyrics/batboy/threebedroomhouse.htm
Children, Children	https://www.allmusicals.com/lyrics/batboy/childrenchildren.htm
More Blood	https://www.allmusicals.com/lyrics/batboy/moreblood.htm
Inside Your Heart	https://www.allmusicals.com/lyrics/batboy/insideyourheart.htm
Apology To A Cow	https://www.allmusicals.com/lyrics/batboy/apologytoacow.htm
Finale: I Imagine You're Upset	https://www.allmusicals.com/lyrics/batboy/finaleiimagineyoureupset.htm
Hold Me, Bat Boy (Reprise)	https://www.allmusicals.com/lyrics/batboy/holdmebatboyreprise.htm
