song-name	url
Prologue: Invisible	https://www.allmusicals.com/lyrics/beetlejuice/prologueinvisible.htm
"The Whole ""Being Dead"" Thing"	https://www.allmusicals.com/lyrics/beetlejuice/thewholebeingdeadthing.htm
Ready, Set, Not Yet	https://www.allmusicals.com/lyrics/beetlejuice/readysetnotyet.htm
"The Whole ""Being Dead"" Thing, Pt. 2"	https://www.allmusicals.com/lyrics/beetlejuice/thewholebeingdeadthingpt2.htm
"The Whole ""Being Dead"" Thing, Pt. 3"	https://www.allmusicals.com/lyrics/beetlejuice/thewholebeingdeadthingpt3.htm
Dead Mom	https://www.allmusicals.com/lyrics/beetlejuice/deadmom.htm
Fright of Their Lives	https://www.allmusicals.com/lyrics/beetlejuice/frightoftheirlives.htm
Ready Set, Not Yet (reprise)	https://www.allmusicals.com/lyrics/beetlejuice/readysetnotyetreprise.htm
No Reason	https://www.allmusicals.com/lyrics/beetlejuice/noreason.htm
Invisible (Reprise) / On The Roof	https://www.allmusicals.com/lyrics/beetlejuice/invisiblerepriseontheroof.htm
Say My Name	https://www.allmusicals.com/lyrics/beetlejuice/saymyname.htm
Day-O (The Banana Boat Song)	https://www.allmusicals.com/lyrics/beetlejuice/dayothebananaboatsong.htm
Girl Scout	https://www.allmusicals.com/lyrics/beetlejuice/girlscout.htm
That Beautiful Sound	https://www.allmusicals.com/lyrics/beetlejuice/thatbeautifulsound.htm
That Beautiful Sound (reprise)	https://www.allmusicals.com/lyrics/beetlejuice/thatbeautifulsoundreprise.htm
Barbara 2.0	https://www.allmusicals.com/lyrics/beetlejuice/barbara20.htm
Good Old Fashioned Wedding	https://www.allmusicals.com/lyrics/beetlejuice/goodoldfashionedwedding.htm
What I Know Now	https://www.allmusicals.com/lyrics/beetlejuice/whatiknownow.htm
Home	https://www.allmusicals.com/lyrics/beetlejuice/home.htm
Creepy Old Guy	https://www.allmusicals.com/lyrics/beetlejuice/creepyoldguy.htm
Jump In The Line	https://www.allmusicals.com/lyrics/beetlejuice/jumpintheline.htm
