song-name	url
Jeremy’s Theme	https://www.allmusicals.com/lyrics/bemorechill/jeremystheme.htm
More Than Survive	https://www.allmusicals.com/lyrics/bemorechill/morethansurvive.htm
I Love Play Rehearsal	https://www.allmusicals.com/lyrics/bemorechill/iloveplayrehearsal.htm
The Squip Song	https://www.allmusicals.com/lyrics/bemorechill/thesquipsong.htm
Two-Player Game	https://www.allmusicals.com/lyrics/bemorechill/twoplayergame.htm
The Squip Enters	https://www.allmusicals.com/lyrics/bemorechill/thesquipenters.htm
Be More Chill PT. 1	https://www.allmusicals.com/lyrics/bemorechill/bemorechillpt1.htm
Do You Wanna Ride?	https://www.allmusicals.com/lyrics/bemorechill/doyouwannaride.htm
Be More Chill PT. 2	https://www.allmusicals.com/lyrics/bemorechill/bemorechillpt2.htm
More Than Survive (Reprise)	https://www.allmusicals.com/lyrics/bemorechill/morethansurvivereprise.htm
A Guy That I’d Kinda Be Into	https://www.allmusicals.com/lyrics/bemorechill/aguythatidkindabeinto.htm
The Squip Lurks	https://www.allmusicals.com/lyrics/bemorechill/thesquiplurks.htm
Upgrade	https://www.allmusicals.com/lyrics/bemorechill/upgrade.htm
Halloween	https://www.allmusicals.com/lyrics/bemorechill/halloween.htm
Do You Wanna Hang?	https://www.allmusicals.com/lyrics/bemorechill/doyouwannahang.htm
Michael in the Bathroom	https://www.allmusicals.com/lyrics/bemorechill/michaelinthebathroom.htm
The Smartphone Hour	https://www.allmusicals.com/lyrics/bemorechill/thesmartphonehour.htm
The Pitiful Children	https://www.allmusicals.com/lyrics/bemorechill/thepitifulchildren.htm
The Pants Song	https://www.allmusicals.com/lyrics/bemorechill/thepantssong.htm
The Play	https://www.allmusicals.com/lyrics/bemorechill/theplay.htm
Voices in My Head	https://www.allmusicals.com/lyrics/bemorechill/voicesinmyhead.htm
