song-name	url
There's No Business Like Show Business	https://www.allmusicals.com/lyrics/bestofbroadwaythe/theresnobusinesslikeshowbusiness.htm
Swanee	https://www.allmusicals.com/lyrics/bestofbroadwaythe/swanee.htm
Ol' Man River	https://www.allmusicals.com/lyrics/bestofbroadwaythe/olmanriver.htm
You're The Top	https://www.allmusicals.com/lyrics/bestofbroadwaythe/yourethetop.htm
Oklahoma	https://www.allmusicals.com/lyrics/bestofbroadwaythe/oklahoma.htm
Luck Be A Lady	https://www.allmusicals.com/lyrics/bestofbroadwaythe/luckbealady.htm
I Could Have Danced All Night	https://www.allmusicals.com/lyrics/bestofbroadwaythe/icouldhavedancedallnight.htm
America	https://www.allmusicals.com/lyrics/bestofbroadwaythe/america.htm
My Favorite Things	https://www.allmusicals.com/lyrics/bestofbroadwaythe/myfavoritethings.htm
People	https://www.allmusicals.com/lyrics/bestofbroadwaythe/people.htm
If I Were A Rich Man	https://www.allmusicals.com/lyrics/bestofbroadwaythe/ifiwerearichman.htm
The Impossible Dream	https://www.allmusicals.com/lyrics/bestofbroadwaythe/theimpossibledream.htm
Cabaret	https://www.allmusicals.com/lyrics/bestofbroadwaythe/cabaret.htm
Let The Sunshine In	https://www.allmusicals.com/lyrics/bestofbroadwaythe/letthesunshinein.htm
Send In The Clowns	https://www.allmusicals.com/lyrics/bestofbroadwaythe/sendintheclowns.htm
One	https://www.allmusicals.com/lyrics/bestofbroadwaythe/one.htm
Tomorrow	https://www.allmusicals.com/lyrics/bestofbroadwaythe/tomorrow.htm
Memory	https://www.allmusicals.com/lyrics/bestofbroadwaythe/memory.htm
The Music Of The Night	https://www.allmusicals.com/lyrics/bestofbroadwaythe/themusicofthenight.htm
Good Morning Baltimore	https://www.allmusicals.com/lyrics/bestofbroadwaythe/goodmorningbaltimore.htm
Defying Gravity	https://www.allmusicals.com/lyrics/bestofbroadwaythe/defyinggravity.htm
