song-name	url
Overture/Can't Wait	https://www.allmusicals.com/lyrics/big/overturecantwait.htm
Talk to Her/Carnival/Zoltar Speaks	https://www.allmusicals.com/lyrics/big/talktohercarnivalzoltarspeaks.htm
This Isn't Me	https://www.allmusicals.com/lyrics/big/thisisntme.htm
I Want to Go Home	https://www.allmusicals.com/lyrics/big/iwanttogohome.htm
Time of Your Life/Fun	https://www.allmusicals.com/lyrics/big/timeofyourlifefun.htm
Josh's Welcome/Here We Go Again	https://www.allmusicals.com/lyrics/big/joshswelcomeherewegoagain.htm
Do You Want to Play Games?/Stars, Stars, Stars	https://www.allmusicals.com/lyrics/big/doyouwanttoplaygamesstarsstarsstars.htm
Cross the Line	https://www.allmusicals.com/lyrics/big/crosstheline.htm
It's Time	https://www.allmusicals.com/lyrics/big/itstime.htm
Stop, Time	https://www.allmusicals.com/lyrics/big/stoptime.htm
Dancing All the Time	https://www.allmusicals.com/lyrics/big/dancingallthetime.htm
I Want to Know	https://www.allmusicals.com/lyrics/big/iwanttoknow.htm
Coffee, Black	https://www.allmusicals.com/lyrics/big/coffeeblack.htm
One Special Man	https://www.allmusicals.com/lyrics/big/onespecialman.htm
Finale	https://www.allmusicals.com/lyrics/big/finale.htm
