song-name	url
Prologue	https://www.allmusicals.com/lyrics/bigfish/prologue.htm
Be the Hero	https://www.allmusicals.com/lyrics/bigfish/bethehero.htm
The Witch	https://www.allmusicals.com/lyrics/bigfish/thewitch.htm
Stranger	https://www.allmusicals.com/lyrics/bigfish/stranger.htm
Two Men in My Life	https://www.allmusicals.com/lyrics/bigfish/twomeninmylife.htm
Ashton's Favorite Son	https://www.allmusicals.com/lyrics/bigfish/ashtonsfavoriteson.htm
Out There on the Road	https://www.allmusicals.com/lyrics/bigfish/outthereontheroad.htm
Little Lamb from Alabama	https://www.allmusicals.com/lyrics/bigfish/littlelambfromalabama.htm
Time Stops	https://www.allmusicals.com/lyrics/bigfish/timestops.htm
Closer to Her	https://www.allmusicals.com/lyrics/bigfish/closertoher.htm
Daffodils	https://www.allmusicals.com/lyrics/bigfish/daffodils.htm
Red, White and True	https://www.allmusicals.com/lyrics/bigfish/redwhiteandtrue.htm
Fight the Dragons	https://www.allmusicals.com/lyrics/bigfish/fightthedragons.htm
Showdown	https://www.allmusicals.com/lyrics/bigfish/showdown.htm
I Don't Need a Roof	https://www.allmusicals.com/lyrics/bigfish/idontneedaroof.htm
Start Over	https://www.allmusicals.com/lyrics/bigfish/startover.htm
What's Next	https://www.allmusicals.com/lyrics/bigfish/whatsnext.htm
How It Ends	https://www.allmusicals.com/lyrics/bigfish/howitends.htm
The Procession	https://www.allmusicals.com/lyrics/bigfish/theprocession.htm
Be the Hero (Reprise)	https://www.allmusicals.com/lyrics/bigfish/betheheroreprise.htm
