song-name	url
Stars Look Down	https://www.allmusicals.com/lyrics/billyelliot/starslookdown.htm
Shine	https://www.allmusicals.com/lyrics/billyelliot/shine.htm
Grandma's Song	https://www.allmusicals.com/lyrics/billyelliot/grandmassong.htm
Solidarity	https://www.allmusicals.com/lyrics/billyelliot/solidarity.htm
Expressing Yourself	https://www.allmusicals.com/lyrics/billyelliot/expressingyourself.htm
Letter	https://www.allmusicals.com/lyrics/billyelliot/letter.htm
Born to Boogie	https://www.allmusicals.com/lyrics/billyelliot/borntoboogie.htm
Angry Dance	https://www.allmusicals.com/lyrics/billyelliot/angrydance.htm
Merry Christmas Maggie Thatcher	https://www.allmusicals.com/lyrics/billyelliot/merrychristmasmaggiethatcher.htm
Deep Into The Ground	https://www.allmusicals.com/lyrics/billyelliot/deepintotheground.htm
Swan Lake	https://www.allmusicals.com/lyrics/billyelliot/swanlake.htm
He Could Be a Star	https://www.allmusicals.com/lyrics/billyelliot/hecouldbeastar.htm
Electricity	https://www.allmusicals.com/lyrics/billyelliot/electricity.htm
Once We Were Kings	https://www.allmusicals.com/lyrics/billyelliot/oncewewerekings.htm
Letter (Reprise)	https://www.allmusicals.com/lyrics/billyelliot/letterreprise.htm
Finale	https://www.allmusicals.com/lyrics/billyelliot/finale.htm
