song-name	url
Overture	https://www.allmusicals.com/lyrics/bloodbrothers/overture.htm
Marilyn Monroe	https://www.allmusicals.com/lyrics/bloodbrothers/marilynmonroe.htm
My Child	https://www.allmusicals.com/lyrics/bloodbrothers/mychild.htm
Easy Terms	https://www.allmusicals.com/lyrics/bloodbrothers/easyterms.htm
Shoes Upon the Table	https://www.allmusicals.com/lyrics/bloodbrothers/shoesuponthetable.htm
July 18th	https://www.allmusicals.com/lyrics/bloodbrothers/july18th.htm
Kids' Game	https://www.allmusicals.com/lyrics/bloodbrothers/kidsgame.htm
Gypsies in the Wood	https://www.allmusicals.com/lyrics/bloodbrothers/gypsiesinthewood.htm
Long Sunday Afternoon/My Friend	https://www.allmusicals.com/lyrics/bloodbrothers/longsundayafternoonmyfriend.htm
Bright New Day	https://www.allmusicals.com/lyrics/bloodbrothers/brightnewday.htm
Secrets	https://www.allmusicals.com/lyrics/bloodbrothers/secrets.htm
Marilyn Monroe 2	https://www.allmusicals.com/lyrics/bloodbrothers/marilynmonroe2.htm
That Guy	https://www.allmusicals.com/lyrics/bloodbrothers/thatguy.htm
Summer Sequence	https://www.allmusicals.com/lyrics/bloodbrothers/summersequence.htm
I'm Not Saying a Word	https://www.allmusicals.com/lyrics/bloodbrothers/imnotsayingaword.htm
One Day in October	https://www.allmusicals.com/lyrics/bloodbrothers/onedayinoctober.htm
Take a Letter Miss Jones	https://www.allmusicals.com/lyrics/bloodbrothers/takealettermissjones.htm
The Robbery	https://www.allmusicals.com/lyrics/bloodbrothers/therobbery.htm
Marilyn Monroe 3	https://www.allmusicals.com/lyrics/bloodbrothers/marilynmonroe3.htm
Light Romance/Madman	https://www.allmusicals.com/lyrics/bloodbrothers/lightromancemadman.htm
The Council Chamber	https://www.allmusicals.com/lyrics/bloodbrothers/thecouncilchamber.htm
Tell Me It's Not True	https://www.allmusicals.com/lyrics/bloodbrothers/tellmeitsnottrue.htm
