song-name	url
Bombay Awakes	https://www.allmusicals.com/lyrics/bombaydreams/bombayawakes.htm
Bombay Dreams	https://www.allmusicals.com/lyrics/bombaydreams/bombaydreams.htm
Like an Eagle	https://www.allmusicals.com/lyrics/bombaydreams/likeaneagle.htm
Love Never Easy	https://www.allmusicals.com/lyrics/bombaydreams/lovenevereasy.htm
Don't Release Me	https://www.allmusicals.com/lyrics/bombaydreams/dontreleaseme.htm
Happy Endings	https://www.allmusicals.com/lyrics/bombaydreams/happyendings.htm
Ooh La La	https://www.allmusicals.com/lyrics/bombaydreams/oohlala.htm
Shakalaka Baby	https://www.allmusicals.com/lyrics/bombaydreams/shakalakababy.htm
Famous	https://www.allmusicals.com/lyrics/bombaydreams/famous.htm
I Could Live	https://www.allmusicals.com/lyrics/bombaydreams/icouldlive.htm
Only Love	https://www.allmusicals.com/lyrics/bombaydreams/onlylove.htm
Chaiyya Chaiyya	https://www.allmusicals.com/lyrics/bombaydreams/chaiyyachaiyya.htm
How Many Stars	https://www.allmusicals.com/lyrics/bombaydreams/howmanystars.htm
Salaam Bombay	https://www.allmusicals.com/lyrics/bombaydreams/salaambombay.htm
Closer Than Ever	https://www.allmusicals.com/lyrics/bombaydreams/closerthanever.htm
Ganesh	https://www.allmusicals.com/lyrics/bombaydreams/ganesh.htm
Journey Home	https://www.allmusicals.com/lyrics/bombaydreams/journeyhome.htm
Wedding Qawwali	https://www.allmusicals.com/lyrics/bombaydreams/weddingqawwali.htm
Bombay Sleeps	https://www.allmusicals.com/lyrics/bombaydreams/bombaysleeps.htm
