song-name	url
Hello!	https://www.allmusicals.com/lyrics/bookofmormonthe/hello.htm
Two By Two	https://www.allmusicals.com/lyrics/bookofmormonthe/twobytwo.htm
You And Me (But Mostly Me)	https://www.allmusicals.com/lyrics/bookofmormonthe/youandmebutmostlyme.htm
Hasa Diga Eebowai	https://www.allmusicals.com/lyrics/bookofmormonthe/hasadigaeebowai.htm
Turn It Off	https://www.allmusicals.com/lyrics/bookofmormonthe/turnitoff.htm
I Am Here For You	https://www.allmusicals.com/lyrics/bookofmormonthe/iamhereforyou.htm
All-American Prophet	https://www.allmusicals.com/lyrics/bookofmormonthe/allamericanprophet.htm
Sal Tlay Ka Siti	https://www.allmusicals.com/lyrics/bookofmormonthe/saltlaykasiti.htm
Man Up	https://www.allmusicals.com/lyrics/bookofmormonthe/manup.htm
Making Things Up Again	https://www.allmusicals.com/lyrics/bookofmormonthe/makingthingsupagain.htm
Spooky Mormon Hell Dream	https://www.allmusicals.com/lyrics/bookofmormonthe/spookymormonhelldream.htm
I Believe	https://www.allmusicals.com/lyrics/bookofmormonthe/ibelieve.htm
Baptize Me	https://www.allmusicals.com/lyrics/bookofmormonthe/baptizeme.htm
I Am Africa	https://www.allmusicals.com/lyrics/bookofmormonthe/iamafrica.htm
Joseph Smith American Moses	https://www.allmusicals.com/lyrics/bookofmormonthe/josephsmithamericanmoses.htm
Tomorrow Is A Latter Day	https://www.allmusicals.com/lyrics/bookofmormonthe/tomorrowisalatterday.htm
