song-name	url
Perfect Young Ladies	https://www.allmusicals.com/lyrics/boyfriendthe/perfectyoungladies.htm
The Boyfriend	https://www.allmusicals.com/lyrics/boyfriendthe/theboyfriend.htm
Won't You Charleston With Me?	https://www.allmusicals.com/lyrics/boyfriendthe/wontyoucharlestonwithme.htm
Fancy Forgetting	https://www.allmusicals.com/lyrics/boyfriendthe/fancyforgetting.htm
I Could Be Happy With You	https://www.allmusicals.com/lyrics/boyfriendthe/icouldbehappywithyou.htm
Sur La Plage	https://www.allmusicals.com/lyrics/boyfriendthe/surlaplage.htm
A Room In Bloomsbury	https://www.allmusicals.com/lyrics/boyfriendthe/aroominbloomsbury.htm
The 'You-Don't-Want-To-Play-With-Me' Blues	https://www.allmusicals.com/lyrics/boyfriendthe/theyoudontwanttoplaywithmeblues.htm
Safety in Numbers	https://www.allmusicals.com/lyrics/boyfriendthe/safetyinnumbers.htm
The Riviera	https://www.allmusicals.com/lyrics/boyfriendthe/theriviera.htm
It's Never Too Late To Fall In Love	https://www.allmusicals.com/lyrics/boyfriendthe/itsnevertoolatetofallinlove.htm
Never Too Late To Fall In Love (Reprise)	https://www.allmusicals.com/lyrics/boyfriendthe/nevertoolatetofallinlovereprise.htm
Poor Little Pierrette	https://www.allmusicals.com/lyrics/boyfriendthe/poorlittlepierrette.htm
Finale	https://www.allmusicals.com/lyrics/boyfriendthe/finale.htm
