song-name	url
The Lives of Me	https://www.allmusicals.com/lyrics/boyfromozthe/thelivesofme.htm
When I Get My Name in Lights	https://www.allmusicals.com/lyrics/boyfromozthe/whenigetmynameinlights.htm
When I Get My Name in Lights (Reprise)	https://www.allmusicals.com/lyrics/boyfromozthe/whenigetmynameinlightsreprise.htm
Waltzing Matilda	https://www.allmusicals.com/lyrics/boyfromozthe/waltzingmatilda.htm
Love Crazy	https://www.allmusicals.com/lyrics/boyfromozthe/lovecrazy.htm
All I Wanted Was the Dream	https://www.allmusicals.com/lyrics/boyfromozthe/alliwantedwasthedream.htm
Only an Older Woman	https://www.allmusicals.com/lyrics/boyfromozthe/onlyanolderwoman.htm
Best That You Can Do	https://www.allmusicals.com/lyrics/boyfromozthe/bestthatyoucando.htm
Don't Wish Too Hard	https://www.allmusicals.com/lyrics/boyfromozthe/dontwishtoohard.htm
Come Save Me	https://www.allmusicals.com/lyrics/boyfromozthe/comesaveme.htm
Continental American	https://www.allmusicals.com/lyrics/boyfromozthe/continentalamerican.htm
She Loves to Hear the Music	https://www.allmusicals.com/lyrics/boyfromozthe/shelovestohearthemusic.htm
Quiet Please, There's a Lady on Stage	https://www.allmusicals.com/lyrics/boyfromozthe/quietpleasetheresaladyonstage.htm
I'd Rather Leave While I'm in Love	https://www.allmusicals.com/lyrics/boyfromozthe/idratherleavewhileiminlove.htm
Not the Boy Next Door	https://www.allmusicals.com/lyrics/boyfromozthe/nottheboynextdoor.htm
Bi-Coastal	https://www.allmusicals.com/lyrics/boyfromozthe/bicoastal.htm
If You Were Wondering	https://www.allmusicals.com/lyrics/boyfromozthe/ifyouwerewondering.htm
Everything Old Is New Again	https://www.allmusicals.com/lyrics/boyfromozthe/everythingoldisnewagain.htm
Everything Old Is New Again (Reprise)	https://www.allmusicals.com/lyrics/boyfromozthe/everythingoldisnewagainreprise.htm
Love Don't Need a Reason	https://www.allmusicals.com/lyrics/boyfromozthe/lovedontneedareason.htm
I Honestly Love You	https://www.allmusicals.com/lyrics/boyfromozthe/ihonestlyloveyou.htm
You and Me	https://www.allmusicals.com/lyrics/boyfromozthe/youandme.htm
I Still Call Australia Home	https://www.allmusicals.com/lyrics/boyfromozthe/istillcallaustraliahome.htm
Don't Cry Out Loud	https://www.allmusicals.com/lyrics/boyfromozthe/dontcryoutloud.htm
Once Before I Go	https://www.allmusicals.com/lyrics/boyfromozthe/oncebeforeigo.htm
Finale: I Go to Rio	https://www.allmusicals.com/lyrics/boyfromozthe/finaleigotorio.htm
Tenterfield Saddler	https://www.allmusicals.com/lyrics/boyfromozthe/tenterfieldsaddler.htm
