song-name	url
I Had Twins	https://www.allmusicals.com/lyrics/boysfromsyracusethe/ihadtwins.htm
Dear Old Syracuse	https://www.allmusicals.com/lyrics/boysfromsyracusethe/dearoldsyracuse.htm
What Can You Do With a Man?	https://www.allmusicals.com/lyrics/boysfromsyracusethe/whatcanyoudowithaman.htm
Falling in Love With Love	https://www.allmusicals.com/lyrics/boysfromsyracusethe/fallinginlovewithlove.htm
The Shortest Day of the Year	https://www.allmusicals.com/lyrics/boysfromsyracusethe/theshortestdayoftheyear.htm
This Can't Be Love	https://www.allmusicals.com/lyrics/boysfromsyracusethe/thiscantbelove.htm
Ladies of the Evening	https://www.allmusicals.com/lyrics/boysfromsyracusethe/ladiesoftheevening.htm
He and She	https://www.allmusicals.com/lyrics/boysfromsyracusethe/heandshe.htm
You Have Cast Your Shadow on the Sea	https://www.allmusicals.com/lyrics/boysfromsyracusethe/youhavecastyourshadowonthesea.htm
Come With Me	https://www.allmusicals.com/lyrics/boysfromsyracusethe/comewithme.htm
Sing for Your Supper	https://www.allmusicals.com/lyrics/boysfromsyracusethe/singforyoursupper.htm
Oh, Diogenes!	https://www.allmusicals.com/lyrics/boysfromsyracusethe/ohdiogenes.htm
Finale	https://www.allmusicals.com/lyrics/boysfromsyracusethe/finale.htm
