song-name	url
To Build a Home	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/tobuildahome.htm
Home Before You Know It	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/homebeforeyouknowit.htm
Temporarily Lost	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/temporarilylost.htm
What Do You Call a Man?	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/whatdoyoucallaman.htm
You're Never Alone	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/youreneveralone.htm
Another Life	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/anotherlife.htm
New Wondering	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/newwondering.htm
Look At Me	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/lookatme.htm
The World Inside a Frame	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/theworldinsideaframe.htm
Something From a Dream	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/somethingfromadream.htm
Get Closer	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/getcloser.htm
Falling Into You	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/fallingintoyou.htm
State Road 21/The Real World	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/stateroad21therealworld.htm
Who We Are and Who We Want to Be	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/whoweareandwhowewanttobe.htm
Almost Real	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/almostreal.htm
Before and After You	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/beforeandafteryou.htm
One Second and a Million Miles	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/onesecondandamillionmiles.htm
When I'm Gone	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/whenimgone.htm
It All Fades Away	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/itallfadesaway.htm
Always Better	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/alwaysbetter.htm
Temporarily Lost	https://www.allmusicals.com/lyrics/bridgesofmadisoncountythe/temporarilylost.htm
