song-name	url
Overture	https://www.allmusicals.com/lyrics/brigadoon/overture.htm
Once in the Highlands	https://www.allmusicals.com/lyrics/brigadoon/onceinthehighlands.htm
Brigadoon	https://www.allmusicals.com/lyrics/brigadoon/brigadoon.htm
Vendor's Calls/Down on MacConnachy Square	https://www.allmusicals.com/lyrics/brigadoon/vendorscallsdownonmacconnachysquare.htm
Waintin' for My Dearie	https://www.allmusicals.com/lyrics/brigadoon/waintinformydearie.htm
I'll Go Home With Bonnie Jean	https://www.allmusicals.com/lyrics/brigadoon/illgohomewithbonniejean.htm
Heather on the Hill	https://www.allmusicals.com/lyrics/brigadoon/heatheronthehill.htm
Love of My Life	https://www.allmusicals.com/lyrics/brigadoon/loveofmylife.htm
Come to Me, Bend to Me	https://www.allmusicals.com/lyrics/brigadoon/cometomebendtome.htm
Almost Like Being in Love	https://www.allmusicals.com/lyrics/brigadoon/almostlikebeinginlove.htm
Chase	https://www.allmusicals.com/lyrics/brigadoon/chase.htm
There But for You Go I	https://www.allmusicals.com/lyrics/brigadoon/therebutforyougoi.htm
My Mother's Wedding Day	https://www.allmusicals.com/lyrics/brigadoon/mymothersweddingday.htm
From This Day On	https://www.allmusicals.com/lyrics/brigadoon/fromthisdayon.htm
Finale	https://www.allmusicals.com/lyrics/brigadoon/finale.htm
