song-name	url
Bright Lights, Big City	https://www.allmusicals.com/lyrics/brightlightsbigcity/brightlightsbigcity.htm
Back in the City	https://www.allmusicals.com/lyrics/brightlightsbigcity/backinthecity.htm
Sunday Morning 6 A.M.	https://www.allmusicals.com/lyrics/brightlightsbigcity/sundaymorning6am.htm
Coma Baby	https://www.allmusicals.com/lyrics/brightlightsbigcity/comababy.htm
Fact and Fiction	https://www.allmusicals.com/lyrics/brightlightsbigcity/factandfiction.htm
I Hate the French	https://www.allmusicals.com/lyrics/brightlightsbigcity/ihatethefrench.htm
Brother	https://www.allmusicals.com/lyrics/brightlightsbigcity/brother.htm
I Hate the French (Reprise)	https://www.allmusicals.com/lyrics/brightlightsbigcity/ihatethefrenchreprise.htm
Odeon	https://www.allmusicals.com/lyrics/brightlightsbigcity/odeon.htm
Happy Birthday Darling	https://www.allmusicals.com/lyrics/brightlightsbigcity/happybirthdaydarling.htm
Missing	https://www.allmusicals.com/lyrics/brightlightsbigcity/missing.htm
To Model	https://www.allmusicals.com/lyrics/brightlightsbigcity/tomodel.htm
So Many Little Things	https://www.allmusicals.com/lyrics/brightlightsbigcity/somanylittlethings.htm
Back in the City, Pt. 2	https://www.allmusicals.com/lyrics/brightlightsbigcity/backinthecitypt2.htm
Kindness	https://www.allmusicals.com/lyrics/brightlightsbigcity/kindness.htm
Perfect Feeling	https://www.allmusicals.com/lyrics/brightlightsbigcity/perfectfeeling.htm
Bright Lights, Big City, Pt. 2	https://www.allmusicals.com/lyrics/brightlightsbigcity/brightlightsbigcitypt2.htm
You Couldn't Handle It Jamie	https://www.allmusicals.com/lyrics/brightlightsbigcity/youcouldnthandleitjamie.htm
My Son	https://www.allmusicals.com/lyrics/brightlightsbigcity/myson.htm
Wednesday	https://www.allmusicals.com/lyrics/brightlightsbigcity/wednesday.htm
Camera Wall	https://www.allmusicals.com/lyrics/brightlightsbigcity/camerawall.htm
Heart and Soul	https://www.allmusicals.com/lyrics/brightlightsbigcity/heartandsoul.htm
Brother, Pt. 2	https://www.allmusicals.com/lyrics/brightlightsbigcity/brotherpt2.htm
Mummies at the Met	https://www.allmusicals.com/lyrics/brightlightsbigcity/mummiesatthemet.htm
Are You Still Holding My Hand?	https://www.allmusicals.com/lyrics/brightlightsbigcity/areyoustillholdingmyhand.htm
Brother, Pt. 3	https://www.allmusicals.com/lyrics/brightlightsbigcity/brotherpt3.htm
Monstrous Events	https://www.allmusicals.com/lyrics/brightlightsbigcity/monstrousevents.htm
Stay in My Life	https://www.allmusicals.com/lyrics/brightlightsbigcity/stayinmylife.htm
Wordfall	https://www.allmusicals.com/lyrics/brightlightsbigcity/wordfall.htm
