song-name	url
Good Crowd Goin'	https://www.allmusicals.com/lyrics/brooklyn/goodcrowdgoin.htm
Heart Behind These Hands	https://www.allmusicals.com/lyrics/brooklyn/heartbehindthesehands.htm
Thank You, Sir	https://www.allmusicals.com/lyrics/brooklyn/thankyousir.htm
Scene One	https://www.allmusicals.com/lyrics/brooklyn/sceneone.htm
Christmas Makes Me Cry	https://www.allmusicals.com/lyrics/brooklyn/christmasmakesmecry.htm
Not A Sound	https://www.allmusicals.com/lyrics/brooklyn/notasound.htm
Brooklyn Grew Up	https://www.allmusicals.com/lyrics/brooklyn/brooklyngrewup.htm
Creating Once Upon A Time	https://www.allmusicals.com/lyrics/brooklyn/creatingonceuponatime.htm
Once Upon A Time	https://www.allmusicals.com/lyrics/brooklyn/onceuponatime.htm
Witness to History	https://www.allmusicals.com/lyrics/brooklyn/witnesstohistory.htm
Superlover	https://www.allmusicals.com/lyrics/brooklyn/superlover.htm
Challenge	https://www.allmusicals.com/lyrics/brooklyn/challenge.htm
Brooklyn In The Blood	https://www.allmusicals.com/lyrics/brooklyn/brooklynintheblood.htm
Brooklyn Grew Up (Reprise)	https://www.allmusicals.com/lyrics/brooklyn/brooklyngrewupreprise.htm
Magic Man	https://www.allmusicals.com/lyrics/brooklyn/magicman.htm
Once Upon A Time (Reprise)	https://www.allmusicals.com/lyrics/brooklyn/onceuponatimereprise.htm
Love Was A Song	https://www.allmusicals.com/lyrics/brooklyn/lovewasasong.htm
I Never Knew His Name	https://www.allmusicals.com/lyrics/brooklyn/ineverknewhisname.htm
Truth	https://www.allmusicals.com/lyrics/brooklyn/truth.htm
Does Anybody Wanna Buy A Memory?	https://www.allmusicals.com/lyrics/brooklyn/doesanybodywannabuyamemory.htm
Raven	https://www.allmusicals.com/lyrics/brooklyn/raven.htm
Sometimes	https://www.allmusicals.com/lyrics/brooklyn/sometimes.htm
Madison Square Garden	https://www.allmusicals.com/lyrics/brooklyn/madisonsquaregarden.htm
Love Me Where I Live	https://www.allmusicals.com/lyrics/brooklyn/lovemewhereilive.htm
Love Fell Like Rain	https://www.allmusicals.com/lyrics/brooklyn/lovefelllikerain.htm
Magic Man (Reprise)	https://www.allmusicals.com/lyrics/brooklyn/magicmanreprise.htm
Streetsinger	https://www.allmusicals.com/lyrics/brooklyn/streetsinger.htm
