song-name	url
Tiger Rag	https://www.allmusicals.com/lyrics/bulletsoverbroadway/tigerrag.htm
Gee, Baby, Ain't I Good to You	https://www.allmusicals.com/lyrics/bulletsoverbroadway/geebabyaintigoodtoyou.htm
Blues My Naughty Sweetie Gives to Me	https://www.allmusicals.com/lyrics/bulletsoverbroadway/bluesmynaughtysweetiegivestome.htm
I Want a Hot Dog for My Roll	https://www.allmusicals.com/lyrics/bulletsoverbroadway/iwantahotdogformyroll.htm
They Go Wild, Simply Wild, Over Me	https://www.allmusicals.com/lyrics/bulletsoverbroadway/theygowildsimplywildoverme.htm
Up a Lazy River	https://www.allmusicals.com/lyrics/bulletsoverbroadway/upalazyriver.htm
I'm Sitting on Top of the World	https://www.allmusicals.com/lyrics/bulletsoverbroadway/imsittingontopoftheworld.htm
Let's Misbehave	https://www.allmusicals.com/lyrics/bulletsoverbroadway/letsmisbehave.htm
(I'll Be Glad When You're Dead) You Rascal You	https://www.allmusicals.com/lyrics/bulletsoverbroadway/illbegladwhenyouredeadyourascalyou.htm
Tain't Nobody's Biz-ness If I Do	https://www.allmusicals.com/lyrics/bulletsoverbroadway/taintnobodysbiznessifido.htm
New Runnin' Wild	https://www.allmusicals.com/lyrics/bulletsoverbroadway/newrunninwild.htm
There's a New Day Comin'!	https://www.allmusicals.com/lyrics/bulletsoverbroadway/theresanewdaycomin.htm
There'll Be Some Changes Made	https://www.allmusicals.com/lyrics/bulletsoverbroadway/therellbesomechangesmade.htm
I Ain't Gonna Play No Second Fiddle	https://www.allmusicals.com/lyrics/bulletsoverbroadway/iaintgonnaplaynosecondfiddle.htm
Good Old New York	https://www.allmusicals.com/lyrics/bulletsoverbroadway/goodoldnewyork.htm
I've Found a New Baby	https://www.allmusicals.com/lyrics/bulletsoverbroadway/ivefoundanewbaby.htm
The Panic Is On	https://www.allmusicals.com/lyrics/bulletsoverbroadway/thepanicison.htm
She's Funny That Way	https://www.allmusicals.com/lyrics/bulletsoverbroadway/shesfunnythatway.htm
