song-name	url
Overture	https://www.allmusicals.com/lyrics/byebyebirdie/overture.htm
English Teacher	https://www.allmusicals.com/lyrics/byebyebirdie/englishteacher.htm
Telephone Hour	https://www.allmusicals.com/lyrics/byebyebirdie/telephonehour.htm
How Lovely to Be a Woman	https://www.allmusicals.com/lyrics/byebyebirdie/howlovelytobeawoman.htm
Put on a Happy Face	https://www.allmusicals.com/lyrics/byebyebirdie/putonahappyface.htm
Healthy, Normal, American Boy	https://www.allmusicals.com/lyrics/byebyebirdie/healthynormalamericanboy.htm
One Boy	https://www.allmusicals.com/lyrics/byebyebirdie/oneboy.htm
Honestly Sincere	https://www.allmusicals.com/lyrics/byebyebirdie/honestlysincere.htm
Hymn for a Sunday Evening	https://www.allmusicals.com/lyrics/byebyebirdie/hymnforasundayevening.htm
One Last Kiss	https://www.allmusicals.com/lyrics/byebyebirdie/onelastkiss.htm
What Did I Ever See in Him?	https://www.allmusicals.com/lyrics/byebyebirdie/whatdidieverseeinhim.htm
Lot of Livin' to Do	https://www.allmusicals.com/lyrics/byebyebirdie/lotoflivintodo.htm
Kids	https://www.allmusicals.com/lyrics/byebyebirdie/kids.htm
Baby, Talk to Me	https://www.allmusicals.com/lyrics/byebyebirdie/babytalktome.htm
Shriner’s Ballet	https://www.allmusicals.com/lyrics/byebyebirdie/shrinersballet.htm
Kids (Reprise)	https://www.allmusicals.com/lyrics/byebyebirdie/kidsreprise.htm
Spanish Rose	https://www.allmusicals.com/lyrics/byebyebirdie/spanishrose.htm
Rosie	https://www.allmusicals.com/lyrics/byebyebirdie/rosie.htm
