song-name	url
Wilkommen	https://www.allmusicals.com/lyrics/cabaret/wilkommen.htm
So What	https://www.allmusicals.com/lyrics/cabaret/sowhat.htm
Telephone Song	https://www.allmusicals.com/lyrics/cabaret/telephonesong.htm
Don't Tell Mama	https://www.allmusicals.com/lyrics/cabaret/donttellmama.htm
Mein Herr	https://www.allmusicals.com/lyrics/cabaret/meinherr.htm
Perfecly Marvelous	https://www.allmusicals.com/lyrics/cabaret/perfeclymarvelous.htm
Two Ladies	https://www.allmusicals.com/lyrics/cabaret/twoladies.htm
It Couldn't Please Me More	https://www.allmusicals.com/lyrics/cabaret/itcouldntpleasememore.htm
Tomorrow Belongs to Me	https://www.allmusicals.com/lyrics/cabaret/tomorrowbelongstome.htm
Why Should I Wake Up?	https://www.allmusicals.com/lyrics/cabaret/whyshouldiwakeup.htm
Maybe this Time	https://www.allmusicals.com/lyrics/cabaret/maybethistime.htm
Money Song	https://www.allmusicals.com/lyrics/cabaret/moneysong.htm
Married	https://www.allmusicals.com/lyrics/cabaret/married.htm
Meeskite	https://www.allmusicals.com/lyrics/cabaret/meeskite.htm
Entr'acte	https://www.allmusicals.com/lyrics/cabaret/entracte.htm
If You Could See Her	https://www.allmusicals.com/lyrics/cabaret/ifyoucouldseeher.htm
What Would You Do?	https://www.allmusicals.com/lyrics/cabaret/whatwouldyoudo.htm
Tomorrow Belongs to Me (Reprise)	https://www.allmusicals.com/lyrics/cabaret/tomorrowbelongstomereprise.htm
Cabaret	https://www.allmusicals.com/lyrics/cabaret/cabaret.htm
Finale	https://www.allmusicals.com/lyrics/cabaret/finale.htm
