song-name	url
Overture	https://www.allmusicals.com/lyrics/calamityjane/overture.htm
The Dreadwood Stage	https://www.allmusicals.com/lyrics/calamityjane/thedreadwoodstage.htm
Careless With The Truth	https://www.allmusicals.com/lyrics/calamityjane/carelesswiththetruth.htm
Men!	https://www.allmusicals.com/lyrics/calamityjane/men.htm
Can-Can	https://www.allmusicals.com/lyrics/calamityjane/cancan.htm
Hive Full Of Honey	https://www.allmusicals.com/lyrics/calamityjane/hivefullofhoney.htm
I Can Do Without You	https://www.allmusicals.com/lyrics/calamityjane/icandowithoutyou.htm
It's Harry I'm Planning To Marry	https://www.allmusicals.com/lyrics/calamityjane/itsharryimplanningtomarry.htm
Wind City	https://www.allmusicals.com/lyrics/calamityjane/windcity.htm
Keep It Under Your Hat	https://www.allmusicals.com/lyrics/calamityjane/keepitunderyourhat.htm
A Woman's Touch	https://www.allmusicals.com/lyrics/calamityjane/awomanstouch.htm
Higher Than A Hawk	https://www.allmusicals.com/lyrics/calamityjane/higherthanahawk.htm
Black Hills Of Dakota	https://www.allmusicals.com/lyrics/calamityjane/blackhillsofdakota.htm
My Secret Love	https://www.allmusicals.com/lyrics/calamityjane/mysecretlove.htm
Finale	https://www.allmusicals.com/lyrics/calamityjane/finale.htm
