song-name	url
Overture - Coffee Club Orchestra	https://www.allmusicals.com/lyrics/callmemadam/overturecoffeecluborchestra.htm
Mrs. Sally Adams	https://www.allmusicals.com/lyrics/callmemadam/mrssallyadams.htm
Hostess With the Mostes' on the Ball	https://www.allmusicals.com/lyrics/callmemadam/hostesswiththemostesontheball.htm
Washington Square Dance	https://www.allmusicals.com/lyrics/callmemadam/washingtonsquaredance.htm
Lichtenburg	https://www.allmusicals.com/lyrics/callmemadam/lichtenburg.htm
Can You Use Any Money Today?	https://www.allmusicals.com/lyrics/callmemadam/canyouuseanymoneytoday.htm
Marrying for Love	https://www.allmusicals.com/lyrics/callmemadam/marryingforlove.htm
Ocarina	https://www.allmusicals.com/lyrics/callmemadam/ocarina.htm
It's a Lovely Day Today	https://www.allmusicals.com/lyrics/callmemadam/itsalovelydaytoday.htm
Best Thing for You	https://www.allmusicals.com/lyrics/callmemadam/bestthingforyou.htm
Something to Dance About	https://www.allmusicals.com/lyrics/callmemadam/somethingtodanceabout.htm
Once upon a Time Today	https://www.allmusicals.com/lyrics/callmemadam/onceuponatimetoday.htm
They Like Ike	https://www.allmusicals.com/lyrics/callmemadam/theylikeike.htm
You're Just in Love	https://www.allmusicals.com/lyrics/callmemadam/yourejustinlove.htm
Mrs. Sally Adams (Reprise)	https://www.allmusicals.com/lyrics/callmemadam/mrssallyadamsreprise.htm
