song-name	url
Overture	https://www.allmusicals.com/lyrics/camelot/overture.htm
March (Parade)	https://www.allmusicals.com/lyrics/camelot/marchparade.htm
I Wonder What the King Is Doing Tonight	https://www.allmusicals.com/lyrics/camelot/iwonderwhatthekingisdoingtonight.htm
Simple Joys of Maidenhood	https://www.allmusicals.com/lyrics/camelot/simplejoysofmaidenhood.htm
Camelot	https://www.allmusicals.com/lyrics/camelot/camelot.htm
Follow Me	https://www.allmusicals.com/lyrics/camelot/followme.htm
C'est Moi	https://www.allmusicals.com/lyrics/camelot/cestmoi.htm
Lusty Month of May	https://www.allmusicals.com/lyrics/camelot/lustymonthofmay.htm
Then You May Take Me to the Fair	https://www.allmusicals.com/lyrics/camelot/thenyoumaytakemetothefair.htm
How to Handle a Woman	https://www.allmusicals.com/lyrics/camelot/howtohandleawoman.htm
Before I Gaze at You Again	https://www.allmusicals.com/lyrics/camelot/beforeigazeatyouagain.htm
If Ever I Would Leave You	https://www.allmusicals.com/lyrics/camelot/ifeveriwouldleaveyou.htm
Seven Deadly Virtues	https://www.allmusicals.com/lyrics/camelot/sevendeadlyvirtues.htm
What Do the Simple Folk Do?	https://www.allmusicals.com/lyrics/camelot/whatdothesimplefolkdo.htm
Fie on Goodness	https://www.allmusicals.com/lyrics/camelot/fieongoodness.htm
I Loved You Once in Silence	https://www.allmusicals.com/lyrics/camelot/ilovedyouonceinsilence.htm
Guenevere	https://www.allmusicals.com/lyrics/camelot/guenevere.htm
Finale Ultimo (Camelot Reprise)	https://www.allmusicals.com/lyrics/camelot/finaleultimocamelotreprise.htm
