song-name	url
Overture	https://www.allmusicals.com/lyrics/candide/overture.htm
Westphalia Chorale	https://www.allmusicals.com/lyrics/candide/westphaliachorale.htm
Life Is Happiness Indeed	https://www.allmusicals.com/lyrics/candide/lifeishappinessindeed.htm
The Best Of All Possible Worlds	https://www.allmusicals.com/lyrics/candide/thebestofallpossibleworlds.htm
Universal Good	https://www.allmusicals.com/lyrics/candide/universalgood.htm
Oh, Happy We	https://www.allmusicals.com/lyrics/candide/ohhappywe.htm
It Must Be So	https://www.allmusicals.com/lyrics/candide/itmustbeso.htm
Westphalia/Battle Music	https://www.allmusicals.com/lyrics/candide/westphaliabattlemusic.htm
Candide's Lament	https://www.allmusicals.com/lyrics/candide/candideslament.htm
Dear Boy	https://www.allmusicals.com/lyrics/candide/dearboy.htm
Auto Da Fe (What A Day)	https://www.allmusicals.com/lyrics/candide/autodafewhataday.htm
Candide Begins His Travels - It Must Be Me	https://www.allmusicals.com/lyrics/candide/candidebeginshistravelsitmustbeme.htm
Paris Waltz	https://www.allmusicals.com/lyrics/candide/pariswaltz.htm
Glitter And Be Gay	https://www.allmusicals.com/lyrics/candide/glitterandbegay.htm
You Were Dead, You Know	https://www.allmusicals.com/lyrics/candide/youweredeadyouknow.htm
I'm Easily Assimilated	https://www.allmusicals.com/lyrics/candide/imeasilyassimilated.htm
Finale Act 1 (Quartet)	https://www.allmusicals.com/lyrics/candide/finaleact1quartet.htm
Universal Good (Reprise)	https://www.allmusicals.com/lyrics/candide/universalgoodreprise.htm
My Love	https://www.allmusicals.com/lyrics/candide/mylove.htm
We Are Women	https://www.allmusicals.com/lyrics/candide/wearewomen.htm
The piligrim's procession/Alleluia	https://www.allmusicals.com/lyrics/candide/thepiligrimsprocessionalleluia.htm
Quiet	https://www.allmusicals.com/lyrics/candide/quiet.htm
Introduction to Eldorado	https://www.allmusicals.com/lyrics/candide/introductiontoeldorado.htm
The Ballad of Eldorado	https://www.allmusicals.com/lyrics/candide/theballadofeldorado.htm
Words, Words, Words	https://www.allmusicals.com/lyrics/candide/wordswordswords.htm
Bon Voyage	https://www.allmusicals.com/lyrics/candide/bonvoyage.htm
The Kings' Barcarolle	https://www.allmusicals.com/lyrics/candide/thekingsbarcarolle.htm
Money, Money, Money	https://www.allmusicals.com/lyrics/candide/moneymoneymoney.htm
What's The Use?	https://www.allmusicals.com/lyrics/candide/whatstheuse.htm
Venice Gavotte	https://www.allmusicals.com/lyrics/candide/venicegavotte.htm
Nothing More Than This	https://www.allmusicals.com/lyrics/candide/nothingmorethanthis.htm
Universal Good (Life is Neither)	https://www.allmusicals.com/lyrics/candide/universalgoodlifeisneither.htm
Finale: Make Our Garden Grow	https://www.allmusicals.com/lyrics/candide/finalemakeourgardengrow.htm
