song-name	url
Shpadoinkle	https://www.allmusicals.com/lyrics/cannibal/shpadoinkle.htm
Shpadoinkle (Reprise)	https://www.allmusicals.com/lyrics/cannibal/shpadoinklereprise.htm
That's All I'm Asking For!	https://www.allmusicals.com/lyrics/cannibal/thatsallimaskingfor.htm
When I Was On Top Of You	https://www.allmusicals.com/lyrics/cannibal/wheniwasontopofyou.htm
Trapper Song	https://www.allmusicals.com/lyrics/cannibal/trappersong.htm
This Side Of Me	https://www.allmusicals.com/lyrics/cannibal/thissideofme.htm
Let's Build A Snowman!	https://www.allmusicals.com/lyrics/cannibal/letsbuildasnowman.htm
Let's Build A Snowman! (Reprise)	https://www.allmusicals.com/lyrics/cannibal/letsbuildasnowmanreprise.htm
That's All I'm Asking For! (Reprise)	https://www.allmusicals.com/lyrics/cannibal/thatsallimaskingforreprise.htm
Hang The Bastard!	https://www.allmusicals.com/lyrics/cannibal/hangthebastard.htm
Shpadoinkle (Finale)	https://www.allmusicals.com/lyrics/cannibal/shpadoinklefinale.htm
Shatter Proof!	https://www.allmusicals.com/lyrics/cannibal/shatterproof.htm
Don't Be Stupid	https://www.allmusicals.com/lyrics/cannibal/dontbestupid.htm
