song-name	url
Opening/Direct From Vienna	https://www.allmusicals.com/lyrics/carnival/openingdirectfromvienna.htm
A Very Nice Man	https://www.allmusicals.com/lyrics/carnival/averyniceman.htm
I've Got To Find A Reason	https://www.allmusicals.com/lyrics/carnival/ivegottofindareason.htm
Mira	https://www.allmusicals.com/lyrics/carnival/mira.htm
A Sword And A Rose And A Cape	https://www.allmusicals.com/lyrics/carnival/aswordandaroseandacape.htm
Humming	https://www.allmusicals.com/lyrics/carnival/humming.htm
Yes, My Heart	https://www.allmusicals.com/lyrics/carnival/yesmyheart.htm
Everybody Likes You	https://www.allmusicals.com/lyrics/carnival/everybodylikesyou.htm
Love Makes The World Go 'Round	https://www.allmusicals.com/lyrics/carnival/lovemakestheworldgoround.htm
Yum Ticky	https://www.allmusicals.com/lyrics/carnival/yumticky.htm
The Rich	https://www.allmusicals.com/lyrics/carnival/therich.htm
Beautiful Candy	https://www.allmusicals.com/lyrics/carnival/beautifulcandy.htm
Her Face	https://www.allmusicals.com/lyrics/carnival/herface.htm
Grand Impe'rial Cirque De Paris	https://www.allmusicals.com/lyrics/carnival/grandimperialcirquedeparis.htm
I Hate Him	https://www.allmusicals.com/lyrics/carnival/ihatehim.htm
Her Face (Reprise)	https://www.allmusicals.com/lyrics/carnival/herfacereprise.htm
Always, Always You	https://www.allmusicals.com/lyrics/carnival/alwaysalwaysyou.htm
Always, Always You (Reprise)	https://www.allmusicals.com/lyrics/carnival/alwaysalwaysyoureprise.htm
She's My Love	https://www.allmusicals.com/lyrics/carnival/shesmylove.htm
Finale	https://www.allmusicals.com/lyrics/carnival/finale.htm
