song-name	url
Prologue: The Carousel Waltz	https://www.allmusicals.com/lyrics/carousel/prologuethecarouselwaltz.htm
You're a Queer One, Julie Jordan	https://www.allmusicals.com/lyrics/carousel/youreaqueeronejuliejordan.htm
Mister Snow	https://www.allmusicals.com/lyrics/carousel/mistersnow.htm
If I Loved You (Introduction)	https://www.allmusicals.com/lyrics/carousel/ifilovedyouintroduction.htm
If I Loved You	https://www.allmusicals.com/lyrics/carousel/ifilovedyou.htm
Give It to 'Em Good, Carrie...	https://www.allmusicals.com/lyrics/carousel/giveittoemgoodcarrie.htm
June Is Bustin' Out All Over	https://www.allmusicals.com/lyrics/carousel/juneisbustinoutallover.htm
Mister Snow (Reprise)	https://www.allmusicals.com/lyrics/carousel/mistersnowreprise.htm
When Children Are Asleep	https://www.allmusicals.com/lyrics/carousel/whenchildrenareasleep.htm
Blow High, Blow Low	https://www.allmusicals.com/lyrics/carousel/blowhighblowlow.htm
Soliloquy	https://www.allmusicals.com/lyrics/carousel/soliloquy.htm
Real Nice Clambake	https://www.allmusicals.com/lyrics/carousel/realniceclambake.htm
Geraniums in the Winder	https://www.allmusicals.com/lyrics/carousel/geraniumsinthewinder.htm
Stonecutters Cut It on Stone	https://www.allmusicals.com/lyrics/carousel/stonecutterscutitonstone.htm
What's the Use of Wond'rin'	https://www.allmusicals.com/lyrics/carousel/whatstheuseofwondrin.htm
You'll Never Walk Alone	https://www.allmusicals.com/lyrics/carousel/youllneverwalkalone.htm
Ballet: Pas De Duex	https://www.allmusicals.com/lyrics/carousel/balletpasdeduex.htm
If I Loved You (Reprise)	https://www.allmusicals.com/lyrics/carousel/ifilovedyoureprise.htm
Sermon/You'll Never Walk Alone (Reprise)	https://www.allmusicals.com/lyrics/carousel/sermonyoullneverwalkalonereprise.htm
