song-name	url
Live In Living Color	https://www.allmusicals.com/lyrics/catchmeifyoucan/liveinlivingcolor.htm
The Pinstripes Are All That They See	https://www.allmusicals.com/lyrics/catchmeifyoucan/thepinstripesareallthattheysee.htm
Someone Else's Skin	https://www.allmusicals.com/lyrics/catchmeifyoucan/someoneelsesskin.htm
Jet Set	https://www.allmusicals.com/lyrics/catchmeifyoucan/jetset.htm
Don't Break The Rules	https://www.allmusicals.com/lyrics/catchmeifyoucan/dontbreaktherules.htm
Butter Outta Cream	https://www.allmusicals.com/lyrics/catchmeifyoucan/butterouttacream.htm
The Man Inside The Clues	https://www.allmusicals.com/lyrics/catchmeifyoucan/themaninsidetheclues.htm
Christmas Is My Favorite Time Of Year	https://www.allmusicals.com/lyrics/catchmeifyoucan/christmasismyfavoritetimeofyear.htm
Doctor's Orders	https://www.allmusicals.com/lyrics/catchmeifyoucan/doctorsorders.htm
Don't Be A Stranger	https://www.allmusicals.com/lyrics/catchmeifyoucan/dontbeastranger.htm
Little Boy, Be A Man	https://www.allmusicals.com/lyrics/catchmeifyoucan/littleboybeaman.htm
Seven Wonders	https://www.allmusicals.com/lyrics/catchmeifyoucan/sevenwonders.htm
(Our) Family Tree	https://www.allmusicals.com/lyrics/catchmeifyoucan/ourfamilytree.htm
Fly, Fly Away	https://www.allmusicals.com/lyrics/catchmeifyoucan/flyflyaway.htm
Goodbye	https://www.allmusicals.com/lyrics/catchmeifyoucan/goodbye.htm
Stuck Together (Strange But True)	https://www.allmusicals.com/lyrics/catchmeifyoucan/stucktogetherstrangebuttrue.htm
