song-name	url
Overture	https://www.allmusicals.com/lyrics/cats/overture.htm
Prologue: Jellicle Songs for Jellicle Cats	https://www.allmusicals.com/lyrics/cats/prologuejelliclesongsforjelliclecats.htm
Naming of Cats	https://www.allmusicals.com/lyrics/cats/namingofcats.htm
Invitation to the Jellicle Ball	https://www.allmusicals.com/lyrics/cats/invitationtothejellicleball.htm
Old Gumbie Cat	https://www.allmusicals.com/lyrics/cats/oldgumbiecat.htm
Rum Tum Tugger	https://www.allmusicals.com/lyrics/cats/rumtumtugger.htm
Grizabella: The Glamour Cat	https://www.allmusicals.com/lyrics/cats/grizabellatheglamourcat.htm
Bustopher Jones	https://www.allmusicals.com/lyrics/cats/bustopherjones.htm
Mungojerrie and Rumpelteazer	https://www.allmusicals.com/lyrics/cats/mungojerrieandrumpelteazer.htm
Old Deuteronomy	https://www.allmusicals.com/lyrics/cats/olddeuteronomy.htm
Jellicle Ball	https://www.allmusicals.com/lyrics/cats/jellicleball.htm
Memory	https://www.allmusicals.com/lyrics/cats/memory.htm
Moments of Happiness	https://www.allmusicals.com/lyrics/cats/momentsofhappiness.htm
Gus: The Theatre Cat	https://www.allmusicals.com/lyrics/cats/gusthetheatrecat.htm
Growltiger's Last Stand	https://www.allmusicals.com/lyrics/cats/growltigerslaststand.htm
Skimbleshanks: The Railway Cat	https://www.allmusicals.com/lyrics/cats/skimbleshankstherailwaycat.htm
Macavity: The Mystery Cat	https://www.allmusicals.com/lyrics/cats/macavitythemysterycat.htm
Mr. Mistoffelees	https://www.allmusicals.com/lyrics/cats/mrmistoffelees.htm
Journey to the Heaviside Layer	https://www.allmusicals.com/lyrics/cats/journeytotheheavisidelayer.htm
Ad-Dressing of Cats	https://www.allmusicals.com/lyrics/cats/addressingofcats.htm
