song-name	url
Overture/Prologue	https://www.allmusicals.com/lyrics/chaplin/overtureprologue.htm
Look at All the People	https://www.allmusicals.com/lyrics/chaplin/lookatallthepeople.htm
Whatcha Gonna Do?	https://www.allmusicals.com/lyrics/chaplin/whatchagonnado.htm
If I Left London	https://www.allmusicals.com/lyrics/chaplin/ifileftlondon.htm
Sennett Song	https://www.allmusicals.com/lyrics/chaplin/sennettsong.htm
Tramp Discovery	https://www.allmusicals.com/lyrics/chaplin/trampdiscovery.htm
Tramp Shuffle - Part 1	https://www.allmusicals.com/lyrics/chaplin/trampshufflepart1.htm
Tramp Shuffle - Part 2	https://www.allmusicals.com/lyrics/chaplin/trampshufflepart2.htm
Life Can Be Like the Movies	https://www.allmusicals.com/lyrics/chaplin/lifecanbelikethemovies.htm
The Look-A-Like Contest	https://www.allmusicals.com/lyrics/chaplin/thelookalikecontest.htm
Just Another Day in Hollywood	https://www.allmusicals.com/lyrics/chaplin/justanotherdayinhollywood.htm
The Life That You Wished For	https://www.allmusicals.com/lyrics/chaplin/thelifethatyouwishedfor.htm
All Falls Down	https://www.allmusicals.com/lyrics/chaplin/allfallsdown.htm
Man of All Countries	https://www.allmusicals.com/lyrics/chaplin/manofallcountries.htm
What Only Love Can See	https://www.allmusicals.com/lyrics/chaplin/whatonlylovecansee.htm
The Exile	https://www.allmusicals.com/lyrics/chaplin/theexile.htm
Where Are All the People?	https://www.allmusicals.com/lyrics/chaplin/whereareallthepeople.htm
This Man	https://www.allmusicals.com/lyrics/chaplin/thisman.htm
Finale/Tramp Reprise	https://www.allmusicals.com/lyrics/chaplin/finaletrampreprise.htm
