song-name	url
Merano	https://www.allmusicals.com/lyrics/chess/merano.htm
The Russian And Molokov Where I Want To Be	https://www.allmusicals.com/lyrics/chess/therussianandmolokovwhereiwanttobe.htm
Opening Ceremony	https://www.allmusicals.com/lyrics/chess/openingceremony.htm
Quartet	https://www.allmusicals.com/lyrics/chess/quartet.htm
The American And Florence Nobodys Side	https://www.allmusicals.com/lyrics/chess/theamericanandflorencenobodysside.htm
Chess	https://www.allmusicals.com/lyrics/chess/chess.htm
Mountain Duet	https://www.allmusicals.com/lyrics/chess/mountainduet.htm
Florence Quits	https://www.allmusicals.com/lyrics/chess/florencequits.htm
Embassy Lament Anthem	https://www.allmusicals.com/lyrics/chess/embassylamentanthem.htm
Anthem	https://www.allmusicals.com/lyrics/chess/anthem.htm
One Night In Bankok	https://www.allmusicals.com/lyrics/chess/onenightinbankok.htm
Heaven Help My Heart	https://www.allmusicals.com/lyrics/chess/heavenhelpmyheart.htm
Argument	https://www.allmusicals.com/lyrics/chess/argument.htm
I Know Him So Well	https://www.allmusicals.com/lyrics/chess/iknowhimsowell.htm
The Deal (No Deal)	https://www.allmusicals.com/lyrics/chess/thedealnodeal.htm
Pity The Child	https://www.allmusicals.com/lyrics/chess/pitythechild.htm
Endgame	https://www.allmusicals.com/lyrics/chess/endgame.htm
Epilogue: You And I The Story (Reprise)	https://www.allmusicals.com/lyrics/chess/epilogueyouandithestoryreprise.htm
