song-name	url
Overture/All That Jazz	https://www.allmusicals.com/lyrics/chicago/overtureallthatjazz.htm
Funny Honey	https://www.allmusicals.com/lyrics/chicago/funnyhoney.htm
Cell Block Tango	https://www.allmusicals.com/lyrics/chicago/cellblocktango.htm
When You're Good to Mama	https://www.allmusicals.com/lyrics/chicago/whenyouregoodtomama.htm
All I Care About	https://www.allmusicals.com/lyrics/chicago/allicareabout.htm
Little Bit of Good	https://www.allmusicals.com/lyrics/chicago/littlebitofgood.htm
We Both Reached for the Gun	https://www.allmusicals.com/lyrics/chicago/webothreachedforthegun.htm
Roxie	https://www.allmusicals.com/lyrics/chicago/roxie.htm
I Can't Do It Alone	https://www.allmusicals.com/lyrics/chicago/icantdoitalone.htm
Chicago After Midnight	https://www.allmusicals.com/lyrics/chicago/chicagoaftermidnight.htm
My Own Best Friend	https://www.allmusicals.com/lyrics/chicago/myownbestfriend.htm
Entr'acte	https://www.allmusicals.com/lyrics/chicago/entracte.htm
I Know a Girl	https://www.allmusicals.com/lyrics/chicago/iknowagirl.htm
Me and My Baby	https://www.allmusicals.com/lyrics/chicago/meandmybaby.htm
Mr. Cellophane	https://www.allmusicals.com/lyrics/chicago/mrcellophane.htm
When Velma Takes the Stand	https://www.allmusicals.com/lyrics/chicago/whenvelmatakesthestand.htm
Razzle Dazzle	https://www.allmusicals.com/lyrics/chicago/razzledazzle.htm
Class	https://www.allmusicals.com/lyrics/chicago/class.htm
Nowadays	https://www.allmusicals.com/lyrics/chicago/nowadays.htm
Finale	https://www.allmusicals.com/lyrics/chicago/finale.htm
