song-name	url
Prologue	https://www.allmusicals.com/lyrics/childrensletterstogod/prologue.htm
Questions, Questions	https://www.allmusicals.com/lyrics/childrensletterstogod/questionsquestions.htm
Thirteen	https://www.allmusicals.com/lyrics/childrensletterstogod/thirteen.htm
Arnold	https://www.allmusicals.com/lyrics/childrensletterstogod/arnold.htm
Like Everybody Else	https://www.allmusicals.com/lyrics/childrensletterstogod/likeeverybodyelse.htm
Questions for the Rain	https://www.allmusicals.com/lyrics/childrensletterstogod/questionsfortherain.htm
Ants	https://www.allmusicals.com/lyrics/childrensletterstogod/ants.htm
A Simple Holiday Song	https://www.allmusicals.com/lyrics/childrensletterstogod/asimpleholidaysong.htm
Six Hours as a Princess	https://www.allmusicals.com/lyrics/childrensletterstogod/sixhoursasaprincess.htm
An Only Child	https://www.allmusicals.com/lyrics/childrensletterstogod/anonlychild.htm
Silly Old Hat	https://www.allmusicals.com/lyrics/childrensletterstogod/sillyoldhat.htm
How Come?	https://www.allmusicals.com/lyrics/childrensletterstogod/howcome.htm
I Know	https://www.allmusicals.com/lyrics/childrensletterstogod/iknow.htm
Joanna's Lament	https://www.allmusicals.com/lyrics/childrensletterstogod/joannaslament.htm
