song-name	url
Overtur	https://www.allmusicals.com/lyrics/chittychittybangbang/overtur.htm
Prologue [parogon panthor,the vulgarian vulture]	https://www.allmusicals.com/lyrics/chittychittybangbang/prologueparogonpanthorthevulgarianvulture.htm
You Two	https://www.allmusicals.com/lyrics/chittychittybangbang/youtwo.htm
Them Three	https://www.allmusicals.com/lyrics/chittychittybangbang/themthree.htm
Toot Sweets	https://www.allmusicals.com/lyrics/chittychittybangbang/tootsweets.htm
Think Vulgar!	https://www.allmusicals.com/lyrics/chittychittybangbang/thinkvulgar.htm
Hushabye Mountain	https://www.allmusicals.com/lyrics/chittychittybangbang/hushabyemountain.htm
Come to the Funfair	https://www.allmusicals.com/lyrics/chittychittybangbang/cometothefunfair.htm
Me Ol' Bam-Boo	https://www.allmusicals.com/lyrics/chittychittybangbang/meolbamboo.htm
Posh!	https://www.allmusicals.com/lyrics/chittychittybangbang/posh.htm
Chitty Chitty Bang Bang	https://www.allmusicals.com/lyrics/chittychittybangbang/chittychittybangbang.htm
Truly Scrumptious	https://www.allmusicals.com/lyrics/chittychittybangbang/trulyscrumptious.htm
Finale Act 1 (Chitty Takes Flight)	https://www.allmusicals.com/lyrics/chittychittybangbang/finaleact1chittytakesflight.htm
Vulgarian National Anthem	https://www.allmusicals.com/lyrics/chittychittybangbang/vulgariannationalanthem.htm
The Roses of Success	https://www.allmusicals.com/lyrics/chittychittybangbang/therosesofsuccess.htm
Teamwork	https://www.allmusicals.com/lyrics/chittychittybangbang/teamwork.htm
Chu-Chi Face	https://www.allmusicals.com/lyrics/chittychittybangbang/chuchiface.htm
Doll on a Music Box/Truly Scrumptious	https://www.allmusicals.com/lyrics/chittychittybangbang/dollonamusicboxtrulyscrumptious.htm
Chitty Flies Home (Finale)	https://www.allmusicals.com/lyrics/chittychittybangbang/chittyflieshomefinale.htm
