song-name	url
I Hope I Get It	https://www.allmusicals.com/lyrics/choruslinea/ihopeigetit.htm
I Can Do That	https://www.allmusicals.com/lyrics/choruslinea/icandothat.htm
At the Ballet	https://www.allmusicals.com/lyrics/choruslinea/attheballet.htm
Sing!	https://www.allmusicals.com/lyrics/choruslinea/sing.htm
Montage 1: Hello Twelve, Hello Thirteen, Hello Love	https://www.allmusicals.com/lyrics/choruslinea/montage1hellotwelvehellothirteenhellolove.htm
Montage 2: Nothing	https://www.allmusicals.com/lyrics/choruslinea/montage2nothing.htm
Montage 3: Mother	https://www.allmusicals.com/lyrics/choruslinea/montage3mother.htm
Montage 4: Gimmie the Ball	https://www.allmusicals.com/lyrics/choruslinea/montage4gimmietheball.htm
Nothing	https://www.allmusicals.com/lyrics/choruslinea/nothing.htm
Dance: Ten, Looks: Three	https://www.allmusicals.com/lyrics/choruslinea/dancetenlooksthree.htm
Music and the Mirror	https://www.allmusicals.com/lyrics/choruslinea/musicandthemirror.htm
One	https://www.allmusicals.com/lyrics/choruslinea/one.htm
The Tap Combination	https://www.allmusicals.com/lyrics/choruslinea/thetapcombination.htm
What I Did for Love	https://www.allmusicals.com/lyrics/choruslinea/whatididforlove.htm
One [Reprise]/Finale	https://www.allmusicals.com/lyrics/choruslinea/onereprisefinale.htm
