song-name	url
Main Title	https://www.allmusicals.com/lyrics/christmascarola/maintitle.htm
Jolly Good Time	https://www.allmusicals.com/lyrics/christmascarola/jollygoodtime.htm
Nothing To Do With Me	https://www.allmusicals.com/lyrics/christmascarola/nothingtodowithme.htm
You Mean More To Me	https://www.allmusicals.com/lyrics/christmascarola/youmeanmoretome.htm
Link By Link	https://www.allmusicals.com/lyrics/christmascarola/linkbylink.htm
Lights Of Long Ago	https://www.allmusicals.com/lyrics/christmascarola/lightsoflongago.htm
God Bless Us Every One	https://www.allmusicals.com/lyrics/christmascarola/godblessuseveryone.htm
A Place Called Home (Scrooge At 10)	https://www.allmusicals.com/lyrics/christmascarola/aplacecalledhomescroogeat10.htm
Mr. Fezziwig's Annual Christmas Ball	https://www.allmusicals.com/lyrics/christmascarola/mrfezziwigsannualchristmasball.htm
A Place Called Home (Reprise)	https://www.allmusicals.com/lyrics/christmascarola/aplacecalledhomereprise.htm
Money Montage / The Engagement Is Off	https://www.allmusicals.com/lyrics/christmascarola/moneymontagetheengagementisoff.htm
Abundance And Charity	https://www.allmusicals.com/lyrics/christmascarola/abundanceandcharity.htm
Christmas Together	https://www.allmusicals.com/lyrics/christmascarola/christmastogether.htm
Dancing On Your Grave	https://www.allmusicals.com/lyrics/christmascarola/dancingonyourgrave.htm
You Mean More To Me (Reprise)	https://www.allmusicals.com/lyrics/christmascarola/youmeanmoretomereprise.htm
Yesterday, Tomorrow and Today / God Bless Us Every One (Reprise)	https://www.allmusicals.com/lyrics/christmascarola/yesterdaytomorrowandtodaygodblessuseveryonereprise.htm
What A Day, What A Sky	https://www.allmusicals.com/lyrics/christmascarola/whatadaywhatasky.htm
Christmas Together (Reprise)	https://www.allmusicals.com/lyrics/christmascarola/christmastogetherreprise.htm
