song-name	url
Overture	https://www.allmusicals.com/lyrics/cinderellasongsfromtheclassicfairytale/overture.htm
In My Own Little Corner	https://www.allmusicals.com/lyrics/cinderellasongsfromtheclassicfairytale/inmyownlittlecorner.htm
Spread A Little Happiness	https://www.allmusicals.com/lyrics/cinderellasongsfromtheclassicfairytale/spreadalittlehappiness.htm
A Dream Is A Wish Your Heart Makes	https://www.allmusicals.com/lyrics/cinderellasongsfromtheclassicfairytale/adreamisawishyourheartmakes.htm
Impossible	https://www.allmusicals.com/lyrics/cinderellasongsfromtheclassicfairytale/impossible.htm
The Ball	https://www.allmusicals.com/lyrics/cinderellasongsfromtheclassicfairytale/theball.htm
What Has Love got To Do With Getting Married	https://www.allmusicals.com/lyrics/cinderellasongsfromtheclassicfairytale/whathaslovegottodowithgettingmarried.htm
A Lovely Night (Ten Minutes Ago)	https://www.allmusicals.com/lyrics/cinderellasongsfromtheclassicfairytale/alovelynighttenminutesago.htm
Do I Love You Because You're Beautiful?	https://www.allmusicals.com/lyrics/cinderellasongsfromtheclassicfairytale/doiloveyoubecauseyourebeautiful.htm
Midnight	https://www.allmusicals.com/lyrics/cinderellasongsfromtheclassicfairytale/midnight.htm
On the Steps Of The Palace	https://www.allmusicals.com/lyrics/cinderellasongsfromtheclassicfairytale/onthestepsofthepalace.htm
Once I Was Loved	https://www.allmusicals.com/lyrics/cinderellasongsfromtheclassicfairytale/onceiwasloved.htm
If The Shoe Fits	https://www.allmusicals.com/lyrics/cinderellasongsfromtheclassicfairytale/iftheshoefits.htm
Tell Hm Anything	https://www.allmusicals.com/lyrics/cinderellasongsfromtheclassicfairytale/tellhmanything.htm
The Stepsisters' Lament	https://www.allmusicals.com/lyrics/cinderellasongsfromtheclassicfairytale/thestepsisterslament.htm
Finale	https://www.allmusicals.com/lyrics/cinderellasongsfromtheclassicfairytale/finale.htm
