song-name	url
A House Divided	https://www.allmusicals.com/lyrics/civilwarthe/ahousedivided.htm
Freedom's Child	https://www.allmusicals.com/lyrics/civilwarthe/freedomschild.htm
By The Sword/Sons Of Dixie	https://www.allmusicals.com/lyrics/civilwarthe/bytheswordsonsofdixie.htm
Tell My Father	https://www.allmusicals.com/lyrics/civilwarthe/tellmyfather.htm
The Peculiar Institution	https://www.allmusicals.com/lyrics/civilwarthe/thepeculiarinstitution.htm
If Prayin' Were Horses	https://www.allmusicals.com/lyrics/civilwarthe/ifprayinwerehorses.htm
Greenback	https://www.allmusicals.com/lyrics/civilwarthe/greenback.htm
Missing You (My Bill)	https://www.allmusicals.com/lyrics/civilwarthe/missingyoumybill.htm
Judgment Day	https://www.allmusicals.com/lyrics/civilwarthe/judgmentday.htm
Father, How Long?	https://www.allmusicals.com/lyrics/civilwarthe/fatherhowlong.htm
Someday	https://www.allmusicals.com/lyrics/civilwarthe/someday.htm
I'll Never Pass This Way Again	https://www.allmusicals.com/lyrics/civilwarthe/illneverpassthiswayagain.htm
How Many Devils?	https://www.allmusicals.com/lyrics/civilwarthe/howmanydevils.htm
Virginia	https://www.allmusicals.com/lyrics/civilwarthe/virginia.htm
Candle in the Window	https://www.allmusicals.com/lyrics/civilwarthe/candleinthewindow.htm
Oh! Be Joyful!	https://www.allmusicals.com/lyrics/civilwarthe/ohbejoyful.htm
Five Boys	https://www.allmusicals.com/lyrics/civilwarthe/fiveboys.htm
The Hospital	https://www.allmusicals.com/lyrics/civilwarthe/thehospital.htm
If Prayin' Were Horses (reprise)	https://www.allmusicals.com/lyrics/civilwarthe/ifprayinwerehorsesreprise.htm
River Jordan	https://www.allmusicals.com/lyrics/civilwarthe/riverjordan.htm
Sarah	https://www.allmusicals.com/lyrics/civilwarthe/sarah.htm
The Honor of Your Name	https://www.allmusicals.com/lyrics/civilwarthe/thehonorofyourname.htm
Greenback (reprise)	https://www.allmusicals.com/lyrics/civilwarthe/greenbackreprise.htm
Northbound Train	https://www.allmusicals.com/lyrics/civilwarthe/northboundtrain.htm
Last Waltz for Dixie	https://www.allmusicals.com/lyrics/civilwarthe/lastwaltzfordixie.htm
The Glory	https://www.allmusicals.com/lyrics/civilwarthe/theglory.htm
